AUTHORS,TITLE,JOURNAL,ABSTRACT,YEAR,VOLUME,LPAGES,UPAGES,DOI
"Evans, SC; Shaw, EM; Rypstra, AL",Exposure to a glyphosate-based herbicide affects agrobiont predatory arthropod behaviour and long-term survival,ECOTOXICOLOGY,"Humans commonly apply chemicals to manage agroecosystems. If those chemicals influence the behaviour or survival of non-target arthropods, the food web could be altered in unintended ways. Glyphosate-based herbicides are among the most ubiquitous pesticides used around the world, yet little is known about if and how they might affect the success of terrestrial predatory arthropods in agroecosystems. In this study, we quantified the effects of a commercial formulation of a glyphosate-based herbicide on the activity of three predatory arthropod species that inhabit agricultural fields in the eastern United States. We also measured the survival of the most common species. We tested the reactions of the wolf spider, Pardon, milvina, to either direct application (topical) or contact with a treated substrate (residual). We quantified the reactions of a larger wolf spider, Hogna helluo, and a ground beetle, Scarites quadriceps, to a compound (topical plus residual) exposure. Pardosa milvina reduced locomotion time and distance under topical herbicide exposure, but increased speed and non-locomotory activity time on exposed substrate. Both H. helluo and S. quadriceps increased non-locomotory activity time under compound herbicide exposure. Over a period of 60 days post-exposure, residually exposed P. milvina exhibited lower survivorship compared to topically exposed and control groups. Thus, exposure of terrestrial arthropods to glyphosate-based herbicides affects their behaviour and long-term survival. These results suggest that herbicides can affect arthropod community dynamics separate from their impact on the plant community and may influence biological control in agroecosystems.",2010,19,1249,1257,10.1007/s10646-010-0509-9
"Faita, MR; Cardozo, MM; Amandio, DTT; Orth, AI; Nodari, RO",Glyphosate-based herbicides and Nosema sp. microsporidia reduce honey bee (Apis mellifera L.) survivability under laboratory conditions,JOURNAL OF APICULTURAL RESEARCH,"Reduction in the population of pollinators can compromise the stability of natural and agricultural ecosystems. One cause of this reduction is contact between pollinators and pesticides. More specifically, pollen and nectar which contain pesticide residues are carried into the colony, in turn, decreasing the resistance of bees to parasites. Therefore, this study aimed to evaluate the mortality and food consumption of Apis mellifera workers infected, or not, with Nosema microsporidia spores and exposed to a diet containing Roundup(R) at the field dose recommended by the manufacturer. Each bioassay was composed of four dietary treatments: control, Roundup(R), Nosema microsporidia spores, and both Roundup(R) and Nosema microsporidia spores. Results of both winter and spring bioassays showed that the interaction between Roundup(R) and Nosema microsporidia significantly reduced survival rate and increased food consumption of the bees. Therefore, it can be concluded that the large amounts of glyphosate-based herbicides employed on extensive monocultures can, under current agroecosystem conditions, compromise the survival of A. mellifera colonies.",2020,59,332,342,10.1080/00218839.2020.1736782
"Farina, WM; Balbuena, MS; Herbert, LT; Gonalons, CM; Vázquez, DE",Effects of the Herbicide Glyphosate on Honey Bee Sensory and Cognitive Abilities: Individual Impairments with Implications for the Hive,INSECTS,"The honeybee Apis mellifera is an important pollinator in both undisturbed and agricultural ecosystems. Its great versatility as an experimental model makes it an excellent proxy to evaluate the environmental impact of agrochemicals using current methodologies and procedures in environmental toxicology. The increase in agrochemical use, including those that do not target insects directly, can have deleterious effects if carried out indiscriminately. This seems to be the case of the herbicide glyphosate (GLY), the most widely used agrochemical worldwide. Its presence in honey has been reported in samples obtained from different environments. Hence, to understand its current and potential risks for this pollinator it has become essential to not only study the effects on honeybee colonies located in agricultural settings, but also its effects under laboratory conditions. Subtle deleterious effects can be detected using experimental approaches. GLY negatively affects associative learning processes of foragers, cognitive and sensory abilities of young hive bees and promotes delays in brood development. An integrated approach that considers behavior, physiology, and development allows not only to determine the effects of this agrochemical on this eusocial insect from an experimental perspective, but also to infer putative effects in disturbed environments where it is omnipresent.",2019,10,,,10.3390/insects10100354
"Ferrigo, D; Raiola, A; Causin, R","Fusarium Toxins in Cereals: Occurrence, Legislation, Factors Promoting the Appearance and Their Management",MOLECULES,"Fusarium diseases of small grain cereals and maize cause significant yield losses worldwide. Fusarium infections result in reduced grain yield and contamination with mycotoxins, some of which have a notable impact on human and animal health. Regulations on maximum limits have been established in various countries to protect consumers from the harmful effects of these mycotoxins. Several factors are involved in Fusarium disease and mycotoxin occurrence and among them environmental factors and the agronomic practices have been shown to deeply affect mycotoxin contamination in the field. In the present review particular emphasis will be placed on how environmental conditions and stress factors for the crops can affect Fusarium infection and mycotoxin production, with the aim to provide useful knowledge to develop strategies to prevent mycotoxin accumulation in cereals.",2016,21,,,10.3390/molecules21050627
"Fiera, C; Ulrich, W; Popescu, D; Buchholz, J; Querner, P; Bunea, CI; Strauss, P; Bauer, T; Kratschmer, S; Winter, S; Zaller, JG",Tillage intensity and herbicide application influence surface-active springtail (Collembola) communities in Romanian vineyards,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,"Vineyards are important perennial, often intensively managed agroecosystems. In most vineyards, ground vegetation is controlled by tillage and/or the application of broadband herbicides with scarcely known effects on the soil fauna. We studied a total of 16 commercial vineyards in the Tarnave wine region, a typical viticultural region in Transylvania, Central Romania. As a model organism for surface-dwelling arthropods we examined the response of springtail (Collembola) species richness and activity density to vineyard tillage practices, fertilization, and herbicide application. A total of 24 species in 10 families were found in the studied vineyards. Principal coordinates analysis (PGA) identified three distinct springtail communities linked to tillage and fertilization practice. Springtail species richness was positively associated with high tillage intensity (frequency: once or twice a year). Springtail activity density in inter-rows was positively correlated with inter-row tillage and herbicide application under grapevines. For the first time we could show that springtail species assemblages in vineyards were characterized by high niche overlap regarding soil quality (organic matter, pH, CaCO3, P and K), indicating similar resource utilization. We conclude that the positive influence of vineyard management and disturbance on surface-dwelling springtail communities is possibly due to the exclusion of potential competitors and predators, the stimulation of microorganisms and/or an increased nutrient input.",2020,300,,,10.1016/j.agee.2020.107006
"Kronberg, MF; Clavijo, A; Moya, A; Rossen, A; Calvo, D; Pagano, E; Munarriz, E",Glyphosate-based herbicides modulate oxidative stress response in the nematode Caenorhabditis elegans,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,"Glyphosate-based formulation is used as non-selective and post-emergent herbicides in urban and rural activities. In view of its recurring applications in agricultural producing countries, the increase of glyphosate concentration in the environment stresses the need to test the adverse effects on non-target organisms and assess the risk of its use. This paper analyzes the toxicological and oxidative stress and modulatory effects of a glyphosate commercial formulation (glyphosate F) on the nematode Caenorhabditis elegans. We detected ROS production and enhancement of oxidative stress response in glyphosate F-treated nematodes. Particularly, we found an increased ctl-1 catalase gene expression of a catalase specific activity. In addition, we showed that glyphosate F treatment activated the FOXO transcription factor DAF-16, a critical target of the insulin/IGF-1 signaling pathway, which modulates the transcription of a broad range of genes involved in stress resistance, reproductive development, dauer formation, and longevity. In summary, the exposure of glyphosate F induces an oxidative imbalance in C. elegans that leads to the DAF-16 activation and consequently to the expression of genes that boost the antioxidant defense system. In this regard, clt-1 gene and catalase activity proved to be excellent biomarkers to develop more sensitive protocols to assess the environmental risk of glyphosate use.",2018,214,1,8,10.1016/j.cbpc.2018.08.002
"Rossi, LF; Luaces, JP; Palermo, AM; Merani, MS; Mudry, MD",Cytogenetic damage in peripheral blood cultures of Chaetophractus villosus exposed in vivo to a glyphosate formulation (Roundup),ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,"Different concentrations of a glyphosate formulation, Roundups (R) Full II (66.2% glyphosate) were tested in culture peripheral blood of armadillo Chaetophractus villosus with cytogenetic biomarkers like mitotic index (MI), chromosomal aberrations (CA), sister chromatid exchange (SCE) and cell proliferation kinetics (CPK) by means of replication index. Adults animals of both sexes were exposed to RU at four concentrations ranging from 0.026 mL RU solution to 0.379 mL RU daily in oral treatment with the same volume (0.2 mL) during 7 days. We analyzed the induced damage at different times considering TO as control value, one (T1), seven (T7) and 30 days (T30). One day after, only the higher concentration shows MI significant differences (p < 0.05), at T7 the frequency increases and at T30 it decreases reaching TO values. The analysis of CA frequencies shows that only 0.106 mL RU/day exhibit significant differences vs TO values. A great variability is expressed in the values of standard deviation (SD) and in the wide confidence intervals of the media. One day after treatments (T1) all four concentrations shows significant differences in SCE vs TO values. Replication Index (RI) does not show significant differences. The dose-response behavior was not observed in either CA or SCE. The consistency of the findings obtained with the same biomarkers in vitro support the idea of expanding studies in order to characterize the risk doses for these mammals.",2018,157,121,127,10.1016/j.ecoenv.2018.03.046
"Fuchs, B; Laihonen, M; Muola, A; Saikkonen, K; Dobrev, PI; Vankova, R; Helander, M",A Glyphosate-Based Herbicide in Soil Differentially Affects Hormonal Homeostasis and Performance of Non-target Crop Plants,FRONTIERS IN PLANT SCIENCE,"Glyphosate is the most widely used herbicide with a yearly increase in global application. Recent studies report glyphosate residues from diverse habitats globally where the effect on non-target plants are still to be explored. Glyphosate disrupts the shikimate pathway which is the basis for several plant metabolites. The central role of phytohormones in regulating plant growth and responses to abiotic and biotic environment has been ignored in studies examining the effects of glyphosate residues on plant performance and trophic interactions. We studied interactive effects of glyphosate-based herbicide (GBH) residues and phosphate fertilizer in soil on the content of main phytohormones, their precursors and metabolites, as well as on plant performance and herbivore damage, in three plant species, oat (Avena sativa), potato (Solanum tuberosum), and strawberry (Fragaria x ananassa). Plant hormonal responses to GBH residues were highly species-specific. Potato responded to GBH soil treatment with an increase in stress-related phytohormones abscisic acid (ABA), indole-3-acetic acid (IAA), and jasmonic acid (JA) but a decrease in cytokinin (CK) ribosides and cytokinin-O-glycosides. GBH residues in combination with phosphate in soil increased aboveground biomass of potato plants and the concentration of the auxin phenylacetic acid (PAA) but decreased phaseic acid and cytokinin ribosides (CKR) and O-glycosides. Chorismate-derived compounds [IAA, PAA and benzoic acid (BzA)] as well as herbivore damage decreased in oat, when growing in GBH-treated soil but concentrations of the cytokinin dihydrozeatin (DZ) and CKR increased. In strawberry plants, phosphate treatment was associated with an elevation of auxin (IAA) and the CK trans-zeatin (tZ), while decreasing concentrations of the auxin PAA and CK DZ was observed in the case of GBH treatment. Our results demonstrate that ubiquitous herbicide residues have multifaceted consequences by modulating the hormonal equilibrium of plants, which can have cascading effects on trophic interactions.",2022,12,,,10.3389/fpls.2021.787958
"Fuchs, B; Saikkonen, K; Helander, M",Glyphosate-Modulated Biosynthesis Driving Plant Defense and Species Interactions,TRENDS IN PLANT SCIENCE,"Glyphosate has become the best-selling herbicide used in agriculture, horticulture, silviculture, and urban environments. It disrupts the shikimate metabolic pathway and thereby blocks the production of aromatic amino acids, which are the basis for several plant metabolites. Glyphosate residues are reported in soils from diverse environments, but the effects on plant physiology and consequences for species interactions are largely unknown. Here, we emphasize the complexity of these physiological processes, and argue that glyphosate residues modulate biosynthetic pathways, individually or interactively, which may affect interactions between plants and heterotrophic organisms. In this way, glyphosate residues can substantially interfere with plant resistance and the attraction of beneficial insects, both of which are essential elements in integrated pest management and healthy ecosystems.",2021,26,312,323,10.1016/j.tplants.2020.11.004
"Ganesan, S; Keating, AF",Ovarian mitochondrial and oxidative stress proteins are altered by glyphosate exposure in mice,TOXICOLOGY AND APPLIED PHARMACOLOGY,"Glyphosate (GLY) usage for weed control is extensive. To investigate ovarian impacts of chronic GLY exposure, female C57BL6 mice were orally administered saline as vehicle control (CT) or GLY at 0.25 (G0.25), 0.5 (G0.5), 1.0 (G1.0), 1.5 (G1.5), or 2 (G2.0) mg/kg for five days per wk. for 20 wks. Feed intake increased (P < .05) in G1.5 and G2.0 mice and body weight increased (P < .05) in G1.0 mice. There was no impact of GLY on estrous cyclicity, nor did GLY affect circulating levels of 17 beta-estradiol or progesterone. Exposure to GLY did not impact heart, liver, spleen, kidney or uterus weight. Both ovarian weight and follicle number were increased (P < .05) by G2.0 but not affected at lower GLY concentrations. There were no detectable effects of GLY on ovarian protein abundance of pAKT, AKT, pAKT:AKT, gamma H2AX, STAR, CYP11A1, HSD3B, CYP19A, ERA or ERB. Increased (P < .05) abundance of ATM protein was observed at G0.25 but not higher GLY doses. A dose-dependent effect (P < .10) of GLY exposure on ovarian protein abundance as quantified by LC-MS/MS was observed (G0.25-4 increased, 19 decreased; G0.5-5 increased, 25 decreased; G1.0-65 increased, 7 decreased; G1.5-145 increased, 2 decreased; G2.0-159 increased, 4 decreased). Pathway analysis was performed using DAVID and identified glutathione metabolism, metabolic and proteasome pathways as GLY exposure targets. These data indicate that chronic low-level exposure to GLY alters the ovarian proteome and may ultimately impact ovarian function.",2020,402,,,10.1016/j.taap.2020.115116
"García-Espiñeira, M; Tejeda-Benitez, L; Olivero-Verbel, J",Toxicity of atrazine- and glyphosate-based formulations on Caenorhabditis elegans,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,"Atrazine and Glyphosate are herbicides massively used in agriculture for crop protection. Upon application, they are available to the biota in different ecosystems. The aim of this research was to evaluate the toxicity of Glyphosate and Atrazine based formulations (GBF and ABF, respectively). Caenorhabditis elegans was exposed to different concentrations of each single formulation, and to the mixture. Lethality, locomotion, growth, and fertility were measured as endpoints. Effects on gene expression were monitored utilizing green fluorescence protein transgenic strains. ABF caused lethality of 12%, 15%, and 18% for 6, 60, and 600 mu M, respectively, displaying a dose dependence trend. GBF produced lethality of 20%, 50%, and 100% at 0.01, 10, and 100 mu M, respectively. Locomotion inhibition ranged from 21% to 89% at the lowest and maximum tested concentrations for Atrazine; whereas for Glyphosate, exposure to 10 mu M inhibited 87%. Brood size was decreased by 67% and 93% after treatment to 0.06 and 6 mu M Atrazine, respectively; and by 23% and 93% after exposure to 0.01 and 10 mu M Glyphosate, respectively. There were no significant differences in growth. Changes in gene expression occurred in all genes, highlighting the expression of sod-1, sod-4, and gpx-4 that increased more than two-fold after exposure to 600 mu M ABF and 10 mu M GBF. The effects observed for the mixture of these formulations were additive for lethality, locomotion and fertility. In short, GBF, ABF, and their mixture induced several toxic responses related to oxidative stress on C. elegans.",2018,156,216,222,10.1016/j.ecoenv.2018.02.075
"Gaupp-Berghausen, M; Hofer, M; Rewald, B; Zaller, JG",Glyphosate-based herbicides reduce the activity and reproduction of earthworms and lead to increased soil nutrient concentrations,SCIENTIFIC REPORTS,"Herbicide use is increasing worldwide both in agriculture and private gardens. However, our knowledge of potential side-effects on non-target soil organisms, even on such eminent ones as earthworms, is still very scarce. In a greenhouse experiment, we assessed the impact of the most widely used glyphosate-based herbicide Roundup on two earthworm species with different feeding strategies. We demonstrate, that the surface casting activity of vertically burrowing earthworms (Lumbricus terrestris) almost ceased three weeks after herbicide application, while the activity of soil dwelling earthworms (Aporrectodea caliginosa) was not affected. Reproduction of the soil dwellers was reduced by 56% within three months after herbicide application. Herbicide application led to increased soil concentrations of nitrate by 1592% and phosphate by 127%, pointing to potential risks for nutrient leaching into streams, lakes, or groundwater aquifers. These sizeable herbicide-induced impacts on agroecosystems are particularly worrisome because these herbicides have been globally used for decades.",2015,5,,,10.1038/srep12886
"Goulson, D","The insect apocalypse, and why it matters",CURRENT BIOLOGY,,2019,29,R967,R971,10.1016/j.cub.2019.06.069
"Gower, SA; Loux, MM; Cardina, J; Harrison, SK","Effect of planting date, residual herbicide, and postemergence application timing on weed control and grain yield in glyphosate-tolerant corn (Zea mays)",WEED TECHNOLOGY,"Studies were conducted in 1998 and 1999 in Ohio to determine the effect of postemergence (POST) application timing of glyphosate on weed control and grain yield in glyphosate-tolerant corn, and how this was influenced by corn planting date and the use of soil-applied herbicides. Glyphosate was applied based on giant foxtail height. Two applications of glyphosate provided better weed control than a single application, especially when applied to weeds 10 cm or less in early-planted corn. Yield was reduced occasionally with a single application on 5- or 10-cm weeds, because of weed re-infestation. Failure to control weeds before they reached a height of 15 to 30 cm also resulted in occasional yield loss. Application of atrazine or acetochlor plus atrazine prior to glyphosate did not consistently increase weed control or yield. Results suggested that glyphosate should be applied before weeds reach 15 cm in height to avoid corn grain yield loss.",2002,16,488,494,10.1614/0890-037X(2002)016[0488:EOPDRH]2.0.CO;2
"Graffigna, S; Marrero, HJ; Torretta, JP",Glyphosate commercial formulation negatively affects the reproductive success of solitary wild bees in a Pampean agroecosystem,APIDOLOGIE,"Glyphosate is the most widely used herbicide worldwide and it could have negative effects on wild bees. We study the effect of glyphosate commercial formulation on the nesting behavior of wild solitary bees (Megachile spp.) and the survival of immature stages in a Pampean agroecosystem. In four plots without agricultural management located in an agricultural field, we placed 480 wooden trap-nests. The traps were sprayed with two different concentrations of glyphosate commercial formulation and only with water. The number of cells per nest was significantly lower in glyphosate treated traps compared with the water treatment. The probability of finding breeding cells was two times higher in nests without glyphosate commercial formulation compared with treated nests. Larvae completed their development and emerged as adults approximately four times more in nests without glyphosate commercial formulation, relative to those with glyphosate. Our results indicate that glyphosate commercial formulation could be conditioning the behavior of the nesting females and it is affecting their reproduction.",2021,52,272,281,10.1007/s13592-020-00816-8
"Grandcoin, A; Piel, S; Baurès, E","AminoMethylPhosphonic acid (AMPA) in natural waters: Its sources, behavior and environmental fate",WATER RESEARCH,"The widely occurring degradation product aminomethylphosphonic acid (AMPA) is a result of glyphosate and amino-polyphosphonate degradation. Massive use of the parent compounds leads to the ubiquity of AMPA in the environment, and particularly in water. The purpose of this review is to summarize and discuss current insights into AMPA formation, transport, persistence and toxicity. In agricultural soils, AMPA is concentrated in the topsoil, and degrades slowly in most soils. It can reach shallow groundwater, but rarely managed to enter deep groundwater. AMPA is strongly adsorbed to soil particles and moves with the particles towards the stream in rainfall runoff. In urban areas, AMPA comes from phosphonates and glyphosate in wastewater. It is commonly found at the outlets of Wastewater Treatment Plants (WWTP). Sediments tend to accumulate AMPA, where it may be biodegraded. Airborne AMPA is not negligible, but does wash-out with heavy rainfall. AMPA is reported to be persistent and can be biologically degraded in soils and sediments. Limited photodegradation in waters exists. AMPA mainly has its sources in agricultural leachates, and urban wastewater effluents. The domestic contribution to urban loads is negligible. There is a critical lack of epidemiological data- especially on water exposure- to understand the toxicological effects, if any, of AMPA on humans. Fortunately, well operated water treatment plants remove a significant proportion of the AMPA from water, even though there are not sufficient regulatory limits for metabolites. (C) 2017 Elsevier Ltd. All rights reserved.",2017,117,187,197,10.1016/j.watres.2017.03.055
"Hackenberger, DK; Stjepanovic, N; Loncaric, Z; Hackenberger, BK",Acute and subchronic effects of three herbicides on biomarkers and reproduction in earthworm Dendrobaena veneta,CHEMOSPHERE,"Earthworms are exposed to herbicides both through their skin and digestive system. Herbicides can influence earthworms' survival, physiology and reproduction. However, there is a lack of data on herbicide effects on earthworms as they are often regarded as low or non-toxic. The aim of our study was to investigate whether widely used commercial formulations of glyphosate (GLF), tembotrione (TBT) and nicosulfuron (NCS) each applied at three environmentally relevant concentrations have adverse effects on various biomarkers and reproduction in epigeic earthworm Dendrobaena veneta. The activities of measured biomarkers varied depending on the herbicide used and the exposure duration and suggest that oxidative stress plays an important role in the toxicity of tested herbicides. Namely, GLF caused an acetylcholinesterase (AChE) activity induction after seven days, and NCS after 28 days, while TBT caused an inhibition up to 47% (6.6 mu g kg(dw)(-1) (soil)) after seven days. Only TBT caused a significant change (H2 = 13.96, p = 0.002) to catalase (CAT) after seven days of exposure. Malondialdehyde concentrations (MDA) were increased all the time after NCS exposure, but only after seven days in GLF and 28 days in TBT treatments, respectively. The tested herbicides did not have a significant effect on reproduction success, expect of NCS which increased the number of juveniles (p < 0.05). (C) 2018 Published by Elsevier Ltd.",2018,208,722,730,10.1016/j.chemosphere.2018.06.047
"Haddaway, NR; Hedlund, K; Jackson, LE; Kätterer, T; Lugato, E; Thomsen, IK; Jorgensen, HB; Isberg, PE",How does tillage intensity affect soil organic carbon? A systematic review,ENVIRONMENTAL EVIDENCE,"Background: The loss of carbon (C) from agricultural soils has been, in part, attributed to tillage, a common practice providing a number of benefits to farmers. The promotion of less intensive tillage practices and no tillage (NT) (the absence of mechanical soil disturbance) aims to mitigate negative impacts on soil quality and to preserve soil organic carbon (SOC). Several reviews and meta-analyses have shown both beneficial and null effects on SOC due to no tillage relative to conventional tillage, hence there is a need for a comprehensive systematic review to answer the question: what is the impact of reduced tillage intensity on SOC? Methods: We systematically reviewed relevant research in boreo-temperate regions using, as a basis, evidence identified within a recently completed systematic map on the impacts of farming on SOC. We performed an update of the original searches to include studies published since the map search. We screened all evidence for relevance according to predetermined inclusion criteria. Studies were appraised and subject to data extraction. Meta-analyses were performed to investigate the impact of reducing tillage [from high (HT) to intermediate intensity (IT), HT to NT, and from IT to NT] for SOC concentration and SOC stock in the upper soil and at lower depths. Results: A total of 351 studies were included in the systematic review: 18% from an update of research published in the 2 years since the systematic map. SOC concentration was significantly higher in NT relative to both IT [1.18 g/kg +/- 0.34 (SE)] and HT [2.09 g/kg +/- 0.34 (SE)] in the upper soil layer (0-15 cm). IT was also found to be significant higher [1.30 g/kg +/- 0.22 (SE)] in SOC concentration than HT for the upper soil layer (0-15 cm). At lower depths, only IT SOC compared with HT at 15-30 cm showed a significant difference; being 0.89 g/kg [+/- 0.20 (SE)] lower in intermediate intensity tillage. For stock data NT had significantly higher SOC stocks down to 30 cm than either HT [4.61 Mg/ha +/- 1.95 (SE)] or IT [3.85 Mg/ha +/- 1.64 (SE)]. No other comparisons were significant. Conclusions: The transition of tilled croplands to NT and conservation tillage has been credited with substantial potential to mitigate climate change via C storage. Based on our results, C stock increase under NT compared to HT was in the upper soil (0-30 cm) around 4.6 Mg/ha (0.78-8.43 Mg/ha, 95% CI) over >= 10 years, while no effect was detected in the full soil profile. The results support those from several previous studies and reviews that NT and IT increase SOC in the topsoil. Higher SOC stocks or concentrations in the upper soil not only promote a more productive soil with higher biological activity but also provide resilience to extreme weather conditions. The effect of tillage practices on total SOC stocks will be further evaluated in a forthcoming project accounting for soil bulk densities and crop yields. Our findings can hopefully be used to guide policies for sustainable management of agricultural soils.",2017,6,,,10.1186/s13750-017-0108-9
"Hagner, M; Mikola, J; Saloniemi, I; Saikkonen, K; Helander, M",Effects of a glyphosate-based herbicide on soil animal trophic groups and associated ecosystem functioning in a northern agricultural field,SCIENTIFIC REPORTS,"Despite an increasing concern of consequences of using vast amounts of glyphosate-based herbicides in agroecosystems, their potential effects on non-target soil organisms and soil functioning are mostly unknown. It has also been argued that fields in northern latitudes should be under special surveillance as the short active period of decomposers may restrict glyphosate degradation. We investigated the effects of a glyphosate- based herbicide, Roundup, on the abundance of enchytraeids and nematodes, both essential groups in decomposer food webs, and plant litter mass loss and soil availability of mineral N in a two-year agricultural field setting in south-west Finland. Our experiment consisted of (1) non-treated weed plots, (2) plots, where weeds were killed by hoeing, and (3) plots treated with both Roundup and hoeing. We found that killing plants by hoeing had drastic effects on soil fauna and functioning, and apparently, distinguishing these effects from direct glyphosate effects is profoundly important when evaluating glyphosate risks in soils. In contrast, the effects of Roundup on soil fauna and functioning were minor and transient and no glyphosate remains were found in the soil at the end of the experiment. These results suggest that side-effects can be minor and glyphosate degradation effective also in soil under northern climatic conditions.",2019,9,,,10.1038/s41598-019-44988-5
"Handford, CE; Elliott, CT; Campbell, K",A Review of the Global Pesticide Legislation and the Scale of Challenge in Reaching the Global Harmonization of Food Safety Standards,INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT,"Pesticide use is important in agriculture to protect crops and improve productivity. However, pesticides have the potential to cause adverse human health or environmental effects, depending on exposure levels. This review examines existing pesticide legislation worldwide, focusing on the level of harmonization and impacts of differing legislation on food safety and trade. Pesticide legislation varies greatly worldwide, because countries have different requirements, guidelines, and legal limits for plant protection. Developed nations have more stringent regulations than developing countries, which lack the resources and expertise to adequately implement and enforce legislation. Global differences in pesticide legislation act as a technical barrier to trade. International parties such as the European Union (EU), Codex Alimentarius Commission (Codex), and North American Free Trade Agreement (NAFTA) have attempted to harmonize pesticide legislation by providing maximum residue limits (MRLs), but globally these limits remain variable. Globally harmonized pesticide standards would serve to increase productivity, profits, and trade and also enhance the ability to protect public health and the environment. (C) 2015 SETAC",2015,11,525,536,10.1002/ieam.1635
"Haney, RL; Senseman, SA; Hons, FM",Effect of roundup ultra on microbial activity and biomass from selected soils,JOURNAL OF ENVIRONMENTAL QUALITY,"Herbicides applied to soils potentially affect soil microbial activity. The quantity and frequency of Roundup Ultra [RU; N-(phosphonomethyl)glycine; Monsanto, St. Louis, MO] applications have escalated with the advent of Roundup-tolerant crops. The objective of this, study was to determine the effect of Roundup Ultra on soil microbial biomass and activity across a range of soils varying in fertility. The isoproplyamine salt of glyphosate was applied in the form of RU at a rate of 234 mg active ingredient kg(-1) soil based on an assumed 2-mm glyphosate-soil interaction depth. Roundup Ultra significantly stimulated soil microbial activity as measured by C and N mineralization, as well as soil microbial biomass. Cumulative C mineralization as well as mineralization rate increased above background levels for all soils tested with addition of RU. There were strong linear relationships between C and N mineralized, as well as between soil microbial C and N (r(2) = 0.96 and 0.95, respectively). The slopes of the relationships with RU addition approximated three. Since the isopropylamine salt of glyphosate has a C to N ratio of 3:1, the data strongly suggest that RU was the direct cause of the enhanced microbial activity. An Increase in the C mineralization rate occurred the first day following RU addition and continued for 14 d. Roundup Ultra appeared to be rapidly degraded by soil microbes regardless of soil type or organic matter content, even at high application rates, without adversely affecting microbial activity.",2002,31,730,735,10.2134/jeq2002.0730
"Hao, YW; Zhang, Y; Xu, WP; Gao, JF; Tao, LM",Synergistic effects of adjuvant A-134 on the herbicidal effects of glyphosate,JOURNAL OF PESTICIDE SCIENCE,"Undesirable side effects on ecosystems and strong selection for weed resistance demand an increase in the efficacy and a reduction in the dosage of glyphosate herbicide used. The synergistic effect of tank-mixed adjuvant KAO (R) A-134 (A-134) on the post emergence activity of the commercial glyphosate formulation Roundup (R) (RDP) against crabgrass (Digitaria sanguinalis) was detected. Field study also showed that A-134 can increase the herbicidal effect of RDP. Meanwhile, A-134 concentration-dependently decreased the surface tension and increased the spreading area of RDP, causing faster penetration and improved uptake of glyphosate into crabgrass. Moreover, the tank mix with A-134 also increased the adhesion of spray droplets of glyphosate isopropylamine salt (GP) to the leaf surface after rainfall treatment, thus maintaining its herbicidal effect. Data suggested the necessity of using these synergistic properties of A-134 to reduce environmental exposure and glyphosate resistance selection.",2019,44,249,254,10.1584/jpestics.D19-030
"Haughton, AJ; Bell, JR; Wilcox, A; Boatman, ND",The effect of the herbicide glyphosate on non-target spiders:: Part I.: Direct effects on Lepthyphantes tenuis under laboratory conditions,PEST MANAGEMENT SCIENCE,"We examined the toxic effects of glyphosate to adult female Lepthyphantes tenuis (Araneae, Linyphiidae), a common spider of agricultural habitats. The overspray technique was used to investigate the effect of the herbicide on forty individuals in each of six glyphosate treatments (2160, 1440, 1080, 720, 360 and 180gha(-1)) and a distilled water control. Spiders collected from the wild were individually placed in exposure chambers and checked every 24h over a 72-h experimental period. Mortality of L tenuis remained at less than 10% in all treatments at 24 and 48 h after spray application, and only increased marginally (to 13%) after 72h. These results support other limited data which suggest that glyphosate is 'harmless' to non-target arthropods. More extended laboratory testing to investigate any side-effects of glyphosate on the life history of L tenuis and other non-beneficial invertebrates is required. (C) 2001 Society of Chemical Industry.",2001,57,1033,1036,10.1002/ps.388
"Heap, I; Duke, SO",Overview of glyphosate-resistant weeds worldwide,PEST MANAGEMENT SCIENCE,"Glyphosate is the most widely used and successful herbicide discovered to date, but its utility is now threatened by the occurrence of several glyphosate-resistant weed species. Glyphosate resistance first appeared in Lolium rigidum in an apple orchard in Australia in 1996, ironically the year that the first glyphosate-resistant crop (soybean) was introduced in the USA. Thirty-eight weed species have now evolved resistance to glyphosate, distributed across 37 countries and in 34 different crops and six non-crop situations. Although glyphosate-resistant weeds have been identified in orchards, vineyards, plantations, cereals, fallow and non-crop situations, it is the glyphosate-resistant weeds in glyphosate-resistant crop systems that dominate the area infested and growing economic impact. Glyphosate-resistant weeds present the greatest threat to sustained weed control in major agronomic crops because this herbicide is used to control weeds with resistance to herbicides with other sites of action, and no new herbicide sites of action have been introduced for over 30 years. Industry has responded by developing herbicide resistance traits in major crops that allow existing herbicides to be used in a new way. However, over reliance on these traits will result in multiple-resistance in weeds. Weed control in major crops is at a precarious point, where we must maintain the utility of the herbicides we have until we can transition to new weed management technologies. (c) 2017 Society of Chemical Industry",2018,74,1040,1049,10.1002/ps.4760
