AUTHORS,TITLE,JOURNAL,ABSTRACT,YEAR,VOLUME,LPAGES,UPAGES,DOI
"Bridi, D; Altenhofen, S; Gonzalez, JB; Reolon, GK; Bonan, CD",Glyphosate and Roundup® alter morphology and behavior in zebrafish,TOXICOLOGY,"Glyphosate has become the most widely used herbicide in the world, due to the wide scale adoption of transgenic glyphosate resistant crops after its introduction in 1996. Glyphosate may be used alone, but it is commonly applied as an active ingredient of the herbicide Roundup (R). This pesticide contains several adjuvants, which may promote an unknown toxicity. The indiscriminate application poses numerous problems, both for the health of the applicators and consumers, and for the environment, contaminating the soil, water and leading to the death of plants and animals. Zebrafish (Danio redo) is quickly gaining popularity in behavioral research, because of physiological similarity to mammals, sensitivity to pharmacological factors, robust performance, low cost, short spawning intervals, external fertilization, transparency of embryos through larval stages, and rapid development. The aim of this study was evaluate the effects of glyphosate and Roundup on behavioral and morphological parameters in zebrafish larvae and adults. Zebrafish larvae at 3 days post-fertilization and adults were exposed to glyphosate (0.01, 0.065, and 0.5 mg/L) or Roundup (0.01, 0.065, and 0.5 mg/L) for 96 h. Immediately after the exposure, we performed the analysis of locomotor activity, aversive behavior, and morphology for the larvae and exploratory behavior, aggression and inhibitory avoidance memory for adult zebrafish. In zebrafish larvae, there were significant differences in the locomotor activity and aversive behavior after glyphosate or Roundup' exposure when compared to the control group. Our findings demonstrated that exposure to glyphosate at the concentration of 0.5 mg/L, Roundup at 0.065 or 0.5 mg/L reduced the distance traveled, the mean speed and the line crossings in adult zebrafish. A decreased ocular distance was observed for larvae exposed at 0.5 mg/L of glyphosate. We verified that at 0.5 mg/L of Roundup-treated adult zebrafish demonstrated a significant impairment in memory. Both glyphosate and Roundup (R) reduced aggressive behavior. Our data suggest that there are small differences between the effects induced by glyphosate and Roundup', altering morphological and behavioral parameters in zebrafish, suggesting common mechanisms of toxicity and cellular response.",2017,392,32,39,10.1016/j.tox.2017.10.007
"Brühl, CA; Zaller, JG",Biodiversity Decline as a Consequence of an Inappropriate Environmental Risk Assessment of Pesticides,FRONTIERS IN ENVIRONMENTAL SCIENCE,,2019,7,,,10.3389/fenvs.2019.00177
"Canosa, IS; Silveyra, GR; Avigliano, L; Medesani, DA; Rodríguez, EM",Ovarian growth impairment after chronic exposure to Roundup Ultramax® in the estuarine crab Neohelice granulata,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,"Adult females of the estuarine crab Neohelice granulata were exposed to the glyphosate formulation Roundup Ultramax (R) during the entire 3-month pre-reproductive period. At the end of the assay, a significant higher increment of glycemia was noted at both glyphosate concentrations assayed (0.01 and 0.2 mg/L, acid equivalent). Although no differences were observed in the gonadosomatic index, a significantly higher proportion of reabsorbed vitellogenic oocyte was observed at the highest glyphosate concentration, together with a significant decrease of vitellogenin content in the ovary. In addition, some in vitro assays were carried out by co-incubating small pieces of ovary with or without the addition of Roundup; at both concentrations tested (same as those used in vivo), a decrease in the ovarian vitellogenin content was observed, whereas the ovarian protein synthesis was significantly inhibited by glyphosate at 0.2 mg/L in the Roundup formulation used.",2018,25,1568,1575,10.1007/s11356-017-0581-2
"Cao, XL; Rao, CY; Cui, H; Sun, DD; Li, LL; Guo, SQ; Zhou, JM; Yuan, RJ; Yang, S; Chen, JJ","Toxic effects of glyphosate on the intestine, liver, brain of carp and on epithelioma papulosum cyprinid cells: Evidence from in vivo and in vitro research",CHEMOSPHERE,"Glyphosate (GLY) is the most widely used organophosphorus herbicide in agriculture. The present study aimed to analyze the comprehensive toxicological effects of GLY on juvenile common carp and an epithelioma papulosum cyprinid (EPC) cell line. In the in vivo experiments, exposure to GLY (5 and 15 mg/L) for 30 days induced liver inflammation and oxidative damage in common carp and changed the physical barrier of the intestine. Histopathological analysis of the intestine, liver, brain, and changes in oxidative stress biomarkers provided evidence of damage and immune system responses to GLY. Moreover, an inhibitory effect of 15 mg/L GLY on acetylcholinesterase (AChE) activity was found in the brain, which may be an important reason for the significant decrease in both swimming distance and average acceleration of common carp. Cell experiments showed that 0.65 and 3.25 mg/L GLY inhibited the viability of EPCs. Furthermore, oxidative DNA damage, mitochondrial dysfunction, and reactive oxygen species (ROS) production were observed in EPC cells following GLY exposure. Taken together, this study not only highlights the negative effects of GLY on common carp but also enriches the knowledge of the cytotoxicity mechanism to further clarify the comprehensive toxicity of GLY in common carp.",2022,302,,,10.1016/j.chemosphere.2022.134691
"Bach, NC; Natale, GS; Somoza, GM; Ronco, AE","Effect on the growth and development and induction of abnormalities by a glyphosate commercial formulation and its active ingredient during two developmental stages of the South-American Creole frog, Leptodactylus latrans",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,"We evaluated the acute lethal and sublethal effects of technical-grade glyphosate (GLY) and the GLY-based commercial formulation Roundup ULTRA MAXA (R) (RU) on two Gosner stages (Gss) 25 and 36 of the South-American Creole frog, Leptodactylus latrans. Bioassays were performed following standardized methods within a wide range of concentrations (0.0007-9.62 mg of acid equivalents per liter-a.e./L-of RU and 3-300 mg/L of GLY). The endpoints evaluated were mortality, swimming activity, growth, development, and the presence of morphologic abnormalities, especially in the mouthparts. No lethal effects were observed on larvae exposed to GLY during either Gs-25 or Gs-36. The concentrations inducing 50 % lethality in RU-exposed larvae at different exposure times and Gss ranged from 3.26 to 9.61 mg a.e./L. Swimming activity was affected by only RU. Effects on growth and development and the induction of morphologic abnormalities-like oral abnormalities and edema-were observed after exposure to either GLY or RU. Gs-25 was the most sensitive stage to both forms of the herbicide. The commercial formulation was much more toxic than the active ingredient on all the endpoints assessed. Effects on growth, development, and the induction of morphologic abnormalities observed in the range of environmental concentrations reported for agroecosystems of Argentina constitute an alert to the potential detrimental effects of the herbicide that could be affecting the fitness and survival of anurans in agroecosystems.",2016,23,23959,23971,10.1007/s11356-016-7631-z
"Carles, L; Gardon, H; Joseph, L; Sanchís, J; Farré, M; Artigas, J",Meta-analysis of glyphosate contamination in surface waters and dissipation by biofilms,ENVIRONMENT INTERNATIONAL,"One consequence of the intensive use of glyphosate is the contamination of rivers by the active substance and its metabolites aminomethyl phosphonic acid (AMPA) and sarcosine, inducing river eutrophication. Biofilms are the predominant lifestyle for microorganisms in rivers, providing pivotal roles in ecosystem functioning and pollutant removal. The persistence of glyphosate in these ecosystems is suspected to be mostly influenced by microbial biodegradation processes. The present study aimed to investigate the tripartite relationship among biofilms, phosphorus and glyphosate in rivers. The first part consists of a co-occurrence analysis among glyphosate, AMPA and phosphorus using an extensive dataset of measurements (n= 56,198) from French surface waters between 2013 and 2017. The second part investigated the capacity of natural river biofilms to dissipate glyphosate, depending on phosphorus availability and the exposure history of the biofilm, in a microcosm study. A strong co-occurrence among glyphosate, AMPA and phosphorus was found in surface waters. More than two-thirds of samples contained phosphorous with glyphosate, AMPA or both compounds. Seasonal fluctuations in glyphosate, AMPA and phosphorus concentrations were correlated, peaking in spring/summer shortly after pesticide spreading. Laboratory experiments revealed that natural river biofilms can degrade glyphosate. However, phosphorus availability negatively influenced the biodegradation of glyphosate and induced the accumulation of AMPA in water. An increase in alkaline phosphatase activity and phosphorus uptake was observed in glyphosate-degrading biofilms, evidencing the tight link between phosphorus limitation and glyphosate degradation by biofilms. The results of the present study show that phosphorus not only is a key driver of river eutrophication but also can reduce complete glyphosate degradation by biofilms and favour the accumulation of AMPA in river water. The predominant role of biofilms and the trophic status of rivers must therefore be considered in order to better assess the fate and persistence of glyphosate.",2019,124,284,293,10.1016/j.envint.2018.12.064
"Carvalho, WF; de Arcaute, CR; Pérez-Iglesias, JM; Laborde, MRR; Soloneski, S; Larramendy, ML","DNA damage exerted by mixtures of commercial formulations of glyphosate and imazethapyr herbicides in Rhinella arenarum (Anura, Bufonidae) tadpoles",ECOTOXICOLOGY,"Glyphosate (GLY) and imazethapyr (IMZT) are two herbicides commonly used worldwide, either alone or in mixtures. They represent key pesticides in modern agricultural management. The toxicity that results when employed as mixtures has not been characterized so far. Acute toxicity of the 48% GLY-based herbicide (GBH) Credit((R)) and the 10.59% IMZT-based herbicide (IBH) Pivot((R)) H alone and their binary combinations was analyzed in Rhinella arenarum tadpoles exposed in a semi-static renewal test. Lethal effects were determined using mortality as the end-point, whereas sublethal effects were determined employing the single-cell gel electrophoresis (SCGE) bioassay. Based on mortality experiments, results revealed LC50(96 h) values of 78.18mg/L GBH and 0.99mg/L IBH for Credit((R)) and Pivot((R)) H, respectively. An increase in the genetic damage index (GDI) was found after exposure to Credit((R)) or Pivot((R)) H at 5 and 10% of LC50(96 h) values. The combinations of 5% Credit((R))-5% Pivot((R)) H LC50(96 h) and 10% Credit((R))-10% Pivot((R)) H LC50(96 h) concentrations significantly enhanced the GDI in comparison with tadpoles exposed only to Credit((R)) or Pivot((R)) H. Thus, the effect of interaction between GBH and IBH inducing DNA damage in R. arenarum blood cells can be considered to be synergistic.",2019,28,367,377,10.1007/s10646-019-02029-x
"Carvalho, WF; Franco, FC; Godoy, FR; Folador, D; Avelar, JB; Nomura, F; da Cru, AD; de Sabóia-Morais, SMT; Bastos, RP; Silva, DDE","Evaluation of Genotoxic and Mutagenic Effects of Glyphosate Roundup Original® in Dendropsophus minutus Peters, 1872 Tadpoles",SOUTH AMERICAN JOURNAL OF HERPETOLOGY,"The herbicide glyphosate is widely used on Brazilian crops and commonly found in water bodies. Despite its usefulness in controlling pests and increasing agricultural production, improper use of this environmental contaminant might accelerate the decline of species, especially frogs. The aim of this study was to evaluate the genotoxic and mutagenic effects of glyphosate Roundup Original (R) in tadpoles of Dendropsophus minutus by comet assay and micronucleus test. Fourteen egg masses were collected in two permanent ponds in Chapada dos Veadeiros National Park in Alto Paraiso de Goias, Brazil. Acute exposure was conducted with 180 tadpoles maintained for 99 d in a storage tank until developmental stages 26-31. During acclimation, tadpoles were distributed among 36 tanks and exposed to the following concentrations of the active ingredient (ai) glyphosate Roundup Original (R): 0.28 mg ai/L, 1.0 mg ai/L, 2.0 mg ai/L, 4.0 mg ai/L of, negative control (0 mg ai/L), and positive control (10 mg ai/L mitomycin C). After 96 h of exposure, the tadpoles were euthanizecl with 5% benzocaine and submitted to comet assay and micronucleus test. In the comet assay, a significant increase in DNA damage was observed in response to the 0.28 mg ai/L concentration for tail length, % DNA in the tail, and Olive tail moment. There was no dose-response effect at other concentrations. For the micronucleus test, we did not find a statistically significant increase in micronuclei in erythrocytes of D. minutus after 96 h of exposure to glyphosate. Therefore, in the present study we found that tadpoles of D. minutus are extremely sensitive to low concentrations of glyphosate, demonstrating the importance of amphibian tadpoles in studies of genotoxicity and mutagenicity.",2018,13,220,229,10.2994/SAJH-D-17-00016.1
"Casida, JE",Organophosphorus Xenobiotic Toxicology,"ANNUAL REVIEW OF PHARMACOLOGY AND TOXICOLOGY, VOL 57","Originally, organophosphorus (OP) toxicology consisted of acetylcholinesterase inhibition by insecticides and chemical threat agents acting as phosphorylating agents for serine in the catalytic triad, but this is no longer the case. Other serine hydrolases can be secondary OP targets, depending on the OP structure, and include neuropathy target esterase, lipases, and endocannabinoid hydrolases. The major OP herbicides are glyphosate and glufosinate, which act in plants but not animals to block aromatic amino acid and glutamine biosynthesis, respectively, with safety for crops conferred by their expression of herbicide-tolerant targets and detoxifying enzymes from bacteria. OP fungicides, pharmaceuticals including calcium retention agents, industrial chemicals, and cytochrome P450 inhibitors act by multiple noncholinergic mechanisms, often with high potency and specificity. One type of OP-containing fire retardant forms a highly toxic bicyclophosphate gamma-aminobutyric acid receptor antagonist upon combustion. Some OPs are teratogenic, mutagenic, or carcinogenic by known mechanisms that can be avoided as researchers expand knowledge of OP chemistry and toxicology for future developments in bioregulation.",2017,57,309,327,10.1146/annurev-pharmtox-010716-104926
"Castro, BDD; Lanes, LEK; Godoy, RS; Maltchik, L; Oliveira, GT",Development stage-dependent oxidative stress responses to the exposure to roundup original© in a neotropical annual killifish,ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY,"Herbicides are the most commonly applied pesticides in Brazil, specifically those based on glyphosate, and are used for different crops, near the habitats of annual killifish. Annual killifish presents a short life cycle with generally restricted geographic distribution. In this context, we evaluated the effect of the Roundup Original (c) (65, 130 and 260 mu g. L-1 of glyphosate) herbicide on different development stages (adult-young and senile) of the annual killifish (Cynopoecilus sp.). We quantified the oxidative balance markers (superoxide dismutase, catalase, glutathione S-transferase, lipid peroxidation levels, and total proteins). We observed that the senile individuals presented 2-fold higher lipid peroxidation levels associated with the maintenance of superoxide dismutase and catalase activity levels even after exposure to the herbicide. However, senile subjects were negatively impacted by the exposure to formulations containing glyphosate, and this was related to a loss of glutathione S-transferase activity. Our research demonstrated that the established physiological markers and this species look promising for toxicology studies.",2022,95,,,10.1016/j.etap.2022.103976
"Castro, MJL; Ojeda, C; Cirelli, AF",Advances in surfactants for agrochemicals,ENVIRONMENTAL CHEMISTRY LETTERS,"Pesticide efficacy is improved by surfactants. Increase in the foliar uptake is particularly useful for herbicides, growth regulators and defoliants, because less active compounds are needed, thus decreasing cost and pollution. Therefore, the choice of the adjuvant in an agrochemical formulation is crucial. The surfactants commonly used as adjuvants include anionic, non-ionic, amphoteric and cationic surfactants. This review analyses the role and properties of the new adjuvants for agriculture and the improvement of the ecotoxicity profile of the pesticide formulations in glyphosate formulation.",2014,12,85,95,10.1007/s10311-013-0432-4
"Cattaneo, R; Clasen, B; Loro, VL; de Menezes, CC; Pretto, A; Baldisserotto, B; Santi, A; de Avila, LA",Toxicological Responses of Cyprinus carpio Exposed to a Commercial Formulation Containing Glyphosate,BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,"The effects of commercial glyphosate herbicide formulation on the activity of acetylcholinesterase (AChE) enzyme and oxidative stress were studied in Cyprinus carpio exposed for 96 h to 0.0, 0.5, 2.5, 5.0 and 10.0 mg/L and then allowed to equal recovery period in water without herbicide. The activity of AChE was inhibited in the brain and in the muscle after exposure. However, after recovery period brain and muscle AChE activity increased. Brain thiobarbituric acid reactive species (TBARS) were measured as an indicator of oxidative stress. Increased TBARS levels were observed with all concentrations tested of the glyphosate formulation, and remained increased after the recovery period. The results recorded clearly indicate lipid peroxidation and anti-AChE action induced by Roundup(A (R)) exposure.",2011,87,597,602,10.1007/s00128-011-0396-7
"Hued, AC; Oberhofer, S; Bistoni, MD","Exposure to a Commercial Glyphosate Formulation (Roundup®) Alters Normal Gill and Liver Histology and Affects Male Sexual Activity of Jenynsia multidentata (Anablepidae, Cyprinodontiformes)",ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,"Roundup is the most popular commercial glyphosate formulation applied in the cultivation of genetically modified glyphosate-resistant crops. The aim of this study was to evaluate the histological lesions of the neotropical native fish, Jenynsia multidentata, in response to acute and subchronic exposure to Roundup and to determine if subchronic exposure to the herbicide causes changes in male sexual activity of individuals exposed to a sublethal concentration (0.5 mg/l) for 7 and 28 days. The estimated 96-h LC50 was 19.02 mg/l for both male and female fish. Gill and liver histological lesions were evaluated through histopathological indices allowing quantification of the histological damages in fish exposed to different concentrations of the herbicide. Roundup induced different histological alterations in a concentration-dependent manner. In subchronic-exposure tests, Roundup also altered normal histology of the studied organs and caused a significant decrease in the number of copulations and mating success in male fish exposed to the herbicide. It is expected that in natural environments contaminated with Roundup, both general health condition and reproductive success of J. multidenatata could be seriously affected.",2012,62,107,117,10.1007/s00244-011-9686-7
"Chahal, GS; Johnson, WG",Influence of Glyphosate or Glufosinate Combinations with Growth Regulator Herbicides and Other Agrochemicals in Controlling Glyphosate-Resistant Weeds,WEED TECHNOLOGY,"With the forthcoming release of the 2,4-D- and dicamba-resistance traits stacked with either glyphosate or glufosinate resistance, the use of 2,4-D or dicamba alone or in tank mix with glyphosate or glufosinate likely will increase the control of glyphosate-resistant weeds in soybean. There also is an increasing trend among soybean growers to apply POST herbicides in combination with fungicides, insecticides, and fertilizers to reduce trips over the field. Greenhouse experiments were conducted during 2011 and 2012 to evaluate glyphosate or glufosinate applications with growth regulator herbicides and other agrochemicals for the control of glyphosate-resistant horseweed and glyphosate-resistant common larnbsquarters. In most cases, glyphosate or glufosinate application with 2,4-D or dicamba provided 80% or more control of glyphosate-resistant horseweed and glyphosate-resistant common lambsquarters. These studies demonstrate that performance of glufosinate alone and with agrochemicals was poor on glyphosate-resistant common lambsquarters. However, no differences in glyphosate-resistant common lambsquarters biomass were noted among treatments including glufosinate alone, glufosinate plus growth regulator herbicides, and glufosinate plus growth regulator herbicides plus agrochemicals. The agrochemicals lambda-cyhalothrin, manganese, and pyraclostrobin did not affect weed control by glyphosate or glufosinate combinations with growth regulator herbicides. Visible soybean injury was noted at 1 wk after treatment (WAT) only when glufosinate was applied with lambda-cyhalothrin or pyraclostrobin but no differences in visible injury were seen with these combinations at 3 WAT.",2012,26,638,643,10.1614/WT-D-12-00058.1
"Chang, FC; Simcik, MF; Capel, PD",OCCURRENCE AND FATE OF THE HERBICIDE GLYPHOSATE AND ITS DEGRADATE AMINOMETHYLPHOSPHONIC ACID IN THE ATMOSPHERE,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,"This is the first report on the ambient levels of glyphosate, the most widely used herbicide in the United States, and its major degradation product, aminomethylphosphonic acid (AMPA), in air and rain. Concurrent, weekly integrated air particle and rain samples were collected during two growing seasons in agricultural areas in Mississippi and Iowa. Rain was also collected in Indiana in a preliminary phase of the study. The frequency of glyphosate detection ranged from 60 to 100% in both air and rain. The concentrations of glyphosate ranged from < 0.01 to 9.1 ng/m(3) and from < 0.1 to 2.5 mu g/L in air and rain samples, respectively. The frequency of detection and median and maximum concentrations of glyphosate in air were similar or greater to those of the other high-use herbicides observed in the Mississippi River basin, whereas its concentration in rain was greater than the other herbicides. It is not known what percentage of the applied glyphosate is introduced into the air, but it was estimated that up to 0.7% of application is removed from the air in rainfall. Glyphosate is efficiently removed from the air; it is estimated that an average of 97% of the glyphosate in the air is removed by a weekly rainfall >= 30 mm. Environ. Toxicol. Chem. 2011;30:548-555. (C) 2011 SETAC",2011,30,548,555,10.1002/etc.431
"Chanu, KR; Mangang, YA; Debbarma, S; Pandey, PK","Effect of glyphosate-based herbicide roundup on hemato-biochemistry of Labeo rohita (Hamilton, 1822) and susceptibility to Aeromonas hydrophila infection",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,"In the present study, comprehensive research was executed to investigate the salient toxic effects of glyphosate herbicide in static water system by evaluating the haemato-biochemical profiles of Labio rohita. A challenge study against Aeromonas hydrophila was conducted to determine disease susceptibility of the fish, treated to varying concentrations of commercial-grade glyphosate herbicide. A static range finding bioassay and definitive test revealed that the 96-h LC50 value of glyphosate was 10.16 mg L-1. The experimental fish were subjected to three sub-lethal concentrations of 2.06, 1.03, and 0.63 mg l(-1) for 28 days and changes were documented bi-fortnightly to study haemato-biochemical alterationsin the fish. Significantly (p < 0.05) low values in red blood corpuscles (RBC), hemoglobin (Hb), and hematocrit value (Hct) were documented. In contrast, a significant (p < 0.05) escalation in white blood corpuscles (WBC) was documented in comparison to the control. Biochemical and stress markers such as blood glucose, total protein, and alkaline phosphatase (ALP) were significantly (p < 0.05) low, whereas serum glutamate pyruvate transaminase (SGPT) and serum glutamate oxaloacetate transaminase (SGOT) escalated significantly (p < 0.05). Chronic exposure to glyphosate, on the other hand, had the least effect on the Na+ and K+ ions. Further, a challenge assay against A. hydrophila at three sub-lethal glyphosate concentrations demonstrated a synergistic impact that reduced the fish survivability. The findings conclude that persistent low glyphosate concentrations in aquatic ecosystems show significant pathophysiological changes in L. rohita, with increased vulnerability to infections. Altogether, our findings indicate the need to further study the possible assessment for a sustainable bio-remediation technique, mitigation of the detrimental effects of glyphosate exposure in fish, and recommendation of an acceptable residue concentration of the glyphosate in aquatic ecosystem.",2023,30,110298,110311,10.1007/s11356-023-29967-8
"Chen, JJ; Rao, CY; Yuan, RJ; Sun, DD; Guo, SQ; Li, LL; Yang, S; Qian, DD; Lu, RH; Cao, XL","Long-term exposure to polyethylene microplastics and glyphosate interferes with the behavior, intestinal microbial homeostasis, and metabolites of the common carp (Cyprinus carpio L.)",SCIENCE OF THE TOTAL ENVIRONMENT,"Polyethylene microplastics (PE-MPs) and glyphosate (GLY) occur widely and have toxic characteristics, resulting in increased research interest. In this study, common carp were used to assess the individual and combined toxicity of PE-MPs (0, 1.5, or 4.5 mg/L) and GLY (0, 5, or 15 mg/L) on the brain-gut axis. After 60 days of exposure, the developmental toxicity, blood-brain barrier (BBB), locomotor behavior, intestinal barrier (physical barrier, chemical barrier, microbial barrier), and intestinal content metabolism of common carp were evaluated. Results showed that 15 mg/L of GLY exposure significantly reduced the mRNA expression of tight-junction genes (occludin, claudin-2, and ZO-1) in the brain, and acetylcholinesterase (AChE) activity was clearly inhibited by high concentrations of GLY. However, different concentrations of PE-MPs had no significant effect on the activity of AChE. Furthermore, the free-swimming behavior of common carp was distinctly inhibited by treatment with a combination of 15 mg/L GLY and 4.5 mg/L PE-MPs. Histological studies indicated that PE-MPs alone and in combination with GLY could disrupt the physical and chemical intestinal barriers of common carp. Additionally, the abundance and diversity of gut microbiota in common carp were significantly changed when exposed to a combination of PE-MPs and GLY. Metabolomics further revealed that PE-MPs combined with GLY triggered metabolic changes and that differential metabolites",2022,814,,,10.1016/j.scitotenv.2021.152681
"Cheron, M; Brischoux, F",Aminomethylphosphonic acid alters amphibian embryonic development at environmental concentrations,ENVIRONMENTAL RESEARCH,"Despite intense societal and scientific debates regarding glyphosate toxicity, it remains the most widely used herbicide. The primary metabolite of glyphosate, AMPA (aminomethylphosphonic acid), is the main contaminant detected in surface waters worldwide, both because of the extensive use of glyphosate and because of other widespread sources of AMPA (i.e., industrial detergents). Studies on potential effects of glyphosate using environmentally relevant concentrations of AMPA on non-target wildlife species are lacking. We experimentally tested the effects of AMPA on embryonic development in a common European toad at concentrations spanning the range found in natural water bodies (from 0.07 to 3.57 mu g l(-1)). Our experimental concentrations of AMPA were 100-6000 times lower than official Predicted-No-Effect-Concentrations. We found that these low-level concentrations of AMPA decreased embryonic survival, increased development duration and influenced hatch ling morphology. Response patterns were more complex than classical linear concentration-response relationships, as concentration responses were nonmonotonic, with greater effects at low-concentrations of AMPA than at high levels. Based on our results we recommend that investigators focus not only on effects of parent compounds, but also their metabolites at environmentally relevant concentrations in order to comprehensively assess impacts of anthropogenic contaminants on the environment.",2020,190,,,10.1016/j.envres.2020.109944
"Choi, CJ; Berges, JA; Young, EB",Rapid effects of diverse toxic water pollutants on chlorophyll a fluorescence: Variable responses among freshwater microalgae,WATER RESEARCH,"Chlorophyll a fluorescence of microalgae is a compelling indicator of toxicity of dissolved water contaminants, because it is easily measured and responds rapidly. While different chl a fluorescence parameters have been examined, most studies have focused on single species and/or a narrow range of toxins. We assessed the utility of one chl a fluorescence parameter, the maximum quantum yield of PSII (F-v/F-m), for detecting effects of nine environmental pollutants from a range of toxin classes on 5 commonly found freshwater algal species, as well as the USEPA model species, Pseudokirchneriella subcapitata. F-v/F-m declined rapidly over <20 min in response to low concentrations of photosynthesis-specific herbicides Diuron (R) and metribuzin (both <40 nM), atrazine (<460 nM) and terbuthylazine (<400 nM). However, F-v/F-m also responded rapidly and in a dose-dependent way to toxins glyphosate (<90 mu M) and KCN (<1 mM) which have modes of action not specific to photosynthesis. F-v/F-m was insensitive to 30-40 mu M insecticides methyl parathion, carbofuran and malathion. Algal species varied in their sensitivity to toxins. No single species was the most sensitive to all nine toxins, but for six toxins to which algal F-v/F-m responded significantly, the model species P. subcapitata was less sensitive than other taxa. In terms of suppression of F-v/F-m within 80 min, patterns of concentration-dependence differed among toxins; most showed Michaelis-Menten saturation kinetics, with half-saturation constant (K-m) values for the PSII inhibitors ranging from 0.14 mu M for Diuron (R) to 6.6 mu M for terbuthylazine, compared with a K-m of 330 mu M for KCN. Percent suppression of F-v/F-m by glyphosate increased exponentially with concentration. F-v/F-m provides a sensitive and easily-measured parameter for rapid and cost-effective detection of effects of many dissolved toxins. Field-portable fluorometers will facilitate field testing, however distinct responses between different species may complicate net F-v/F-m signal from a community. (C) 2012 Elsevier Ltd. All rights reserved.",2012,46,2615,2626,10.1016/j.watres.2012.02.027
"Collom, C; Pradhan, SH; Liu, JY; Liu, JQ; Sharma, V; Sayes, CM","Toxicity of binary mixtures of copper, lead, and glyphosate on neuronal cells",JOURNAL OF HAZARDOUS MATERIALS ADVANCES,"Regulations for contaminants are primarily based on isolated exposures to an individual toxicant. This practice does not account for interactions that may happen between toxicants. The assessment of chemical mixtures ought to be routinely studied to better understand the risks to human health, yet no standard protocol exists. This study provides a framework focusing on the complex interactions between individual chemical toxicants and how that can affect a potential regulatory shift. The work evaluates the binary exposures of environmental contaminants, lead(II) acetate, copper(II) nitrate, and glyphosate, against a neuronal brain cell model (SH-SY5Y) by comparing the concentration addition (CA) model to experimental cytotoxicity values. Binary mixture effects were identified and interpreted using the interaction index and isobologram. Isobolograms were developed to visualize the comparative data. Against the concentration addition model, the EC50 values of binary mixtures composed of copper-lead and EC50 values of binary mixtures of copper-glyphosate showed antagonistic responses with interaction indices greater than one. The EC50 values of binary mixtures composed of lead-glyphosate produced additive effects with an interaction index within the 95% confidence interval of one. These results, along with mechanism elucidations, illustrate the complexity of mixture toxicology and the need for further studies emphasizing comparisons between prediction modeling and experimental results.",2023,11,,,10.1016/j.hazadv.2023.100355
"Cornish, CM; Bergholz, P; Schmidt, K; Sweetman, J",How Benthic Sediment Microbial Communities Respond to Glyphosate and Its Metabolite: a Microcosm Experiment,MICROBIAL ECOLOGY,"Glyphosate is the most commonly used agricultural herbicide in the world. In aquatic ecosystems, glyphosate often adsorbs to benthic substrates or is metabolized and degraded by microorganisms. The effects of glyphosate on microbial communities vary widely as microorganisms respond differently to exposure. To help understand the impacts of glyphosate on the sediment microbiome, we conducted a microcosm experiment examining the responses of benthic sediment microbial communities to herbicide treatments. Sediments from a prairie pothole wetland were collected, and 16S rRNA gene sequencing was used to analyze community composition 2-h and 14-days after a single treatment of low (0.07 ppm), medium (0.7 ppm), or high (7 ppm) glyphosate, aminomethylphosphonic acid (glyphosate metabolite), or a glyphosate-based commercial formula. We found no significant differences in microbial community composition across treatments, concentration levels, or day of sampling. These findings suggest that microbial species in the Prairie Pothole Region of North America may be tolerant to glyphosate exposure.",2023,86,2949,2958,10.1007/s00248-023-02296-6
"Coupe, RH; Kalkhoff, SJ; Capel, PD; Gregoire, C",Fate and transport of glyphosate and aminomethylphosphonic acid in surface waters of agricultural basins,PEST MANAGEMENT SCIENCE,"BACKGROUND: Glyphosate [N-(phosphonomethyl)glycine] is a herbicide used widely throughout the world in the production of many crops and is heavily used on soybeans, corn and cotton. Glyphosate is used in almost all agricultural areas of the United States, and the agricultural use of glyphosate has increased from less than 10 000 Mg in 1992 to more than 80 000 Mg in 2007. The greatest intensity of glyphosate use is in the midwestern United States, where applications are predominantly to genetically modified corn and soybeans. In spite of the increase in usage across the United States, the characterization of the transport of glyphosate and its degradate aminomethylphosphonic acid (AMPA) on a watershed scale is lacking. RESULTS: Glyphosate and AMPA were frequently detected in the surface waters of four agricultural basins. The frequency and magnitude of detections varied across basins, and the load, as a percentage of use, ranged from 0.009 to 0.86% and could be related to three general characteristics: source strength, rainfall runoff and flow route. CONCLUSIONS: Glyphosate use in a watershed results in some occurrence in surface water; however, the watersheds most at risk for the offsite transport of glyphosate are those with high application rates, rainfall that results in overland runoff and a flow route that does not include transport through the soil. (C) 2011 Society of Chemical Industry",2012,68,16,30,10.1002/ps.2212
