STUDY_ID,REVIEWERS,INCLUDE,AUTHORS,TITLE,YEAR,JOURNAL,VOLUME,LPAGES,UPAGES,DOI,ABSTRACT,...10,STUDY_ID.1
650,Lisa,NO,"Dabholkar, S; Pirani, S; Davis, M; Khan, M; Eddleston, M",Suicides by pesticide ingestion in Pakistan and the impact of pesticide regulation,2023,BMC PUBLIC HEALTH,23,NA,NA,http://dx.doi.org/10.1186/s12889-023-15505-1,"IntroductionSuicide is a major public health problem in Pakistan, accounting to approximately 19,331 deaths every year. Many are due to consumption of acutely toxic pesticides; however, there is a lack of national suicide data, limiting knowledge and potential for intervention. In this paper, we aimed to review the literature on pesticide self-poisoning in Pakistan to identify the most problematic pesticides in relation to national pesticide regulations.MethodsInformation on the currently registered and banned pesticides was obtained from Ministry of National Food Security and Research while data on pesticide import and use was extracted from FAOSTAT. We searched the following sources for articles and research papers on poisoning in Pakistan: Cumulative Index to Nursing and Allied Health (CINAHL), Google Scholar, Applied Social Sciences Index and Abstracts (ASSIA), Excerpta Medica (EMBASE), National Library of Medicine's MEDLINE (PUBMED), PS102YCHINFO and Pakmedinet.com using the search terms 'self-poisoning', 'deliberate self-harm', 'suicide', 'methods and means of suicide', 'organophosphate', 'wheat pill', 'aluminium phosphide', 'acute poisoning', OR 'pesticides', AND 'Pakistan'.ResultsAs of May 2021, 382 pesticide active ingredients (substances) were registered in Pakistan, of which five were WHO hazard class Ia (extremely hazardous) and 17 WHO hazard class Ib (highly hazardous). Twenty-six pesticides, four formulations, and seven non-registered pesticides had been banned, of which two were WHO class Ia and five Ib. We identified 106 hospital-level studies of poisoning conducted in Pakistan, of which 23 did not mention self-poisoning cases and one reported no suicidal poisoning cases. We found no community or forensic medicine studies. Of 52,323 poisoning cases identified in these papers, 24,546 [47%] were due to pesticides. The most commonly identified pesticide classes were organophosphorus (OP) insecticides (13,816 cases, 56%) and the fumigant aluminium phosphide (3 g 56% tablets, often termed 'wheat pills'; 686 cases, 2.7%). Few studies identified the particular pesticides involved or the resulting case fatality.ConclusionWe found pesticide poisoning to be a major cause of poisoning in Pakistan, with OP insecticides and the fumigant aluminium phosphide the main pesticides identified. Withdrawal of Class I pesticides (as proposed to occur nationally in 2022) and high concentration aluminium phosphide tablets should rapidly reduce suicidal deaths by reducing the case fatality for low-intention poisoning cases. National cause of death data and forensic toxicology laboratory data identifying the pesticides responsible for deaths will be important to assess impacts of the proposed national ban.",NA,650
651,Lisa,NO,"Figueiredo, A; Anholeto, LA; Cola, DF; Fantatto, RR; Gainza, YA; dos Santos, IB; Vi�ozzi, GP; Avila, DS; Fraceto, LF; Chagas, ACD",Acaricides containing zein nanoparticles: A tool for a lower impact control of the cattle tick Rhipicephalus microplus,2023,VETERINARY PARASITOLOGY,318,NA,NA,http://dx.doi.org/10.1016/j.vetpar.2023.109918,"Nanoformulations containing zein nanoparticles (ZN) can promote the stability and protection of molecules with acaricidal activity. The present study sought to develop nanoformulations with ZN associated with cypermethrin (CYPE) + chlorpyrifos (CHLO) + a plant compound (citral, menthol or limonene), characterize them, and verify their efficacy against Rhipicephalus microplus ticks. Additionally, we aimed to assess its safety in nontarget nematodes found in soil at a site subjected to contamination by acaricides. The nanoformulations were char-acterized by dynamic light scattering and nanoparticle tracking analysis. Nanoformulations 1 (ZN+CYPE+-CHLO+citral), 2 (ZN+CYPE+CHLO+menthol), and 3 (ZN+CYPE+CHLO+limonene) were measured for diameter, polydispersion, zeta potential, concentration, and encapsulation efficiency. Nanoformulations 1, 2, and 3 were evaluated in a range from 0.004 to 0.466 mg/mL on R. microplus larvae and caused mortality > 80% at concentrations above 0.029 mg/mL. The commercial acaricide Colosso (R) (CYPE 15 g + CHLO 25 g + citronellal 1 g) was evaluated also from 0.004 to 0.512 mg/mL and resulted in 71.9% larval mortality at 0.064 mg/mL. Formulations 1, 2, and 3 at 0.466 mg/mL showed acaricidal efficacy of 50.2%, 40.5%, and 60.1% on engorged females, respectively, while Colosso (R) at 0.512 mg/mL obtained only 39.4%. The nanoformulations exhibited long residual period of activity and lower toxicity to nontarget nematodes. ZN was able to protect the active compounds against degradation during the storage period. Thus, ZN can be an alternative for the development of new acaricidal formulations using lower concentrations of active compounds.",NA,651
652,Lisa,maybe,"Makame, KR; Sherif, M; �stlundh, L; S�ndor, J; Ad�m, B; Nagy, K",Are encapsulated pesticides less harmful to human health than their conventional alternatives? Protocol for a systematic review of in vitro and in vivo animal model studies,2023,ENVIRONMENT INTERNATIONAL,174,NA,NA,http://dx.doi.org/10.1016/j.envint.2023.107924,"Background: The gradual increase in the global population has led to the rising demand for agricultural products worldwide. This required the introduction of environment-and public health-friendly advanced technologies for plant protection to guard yields from pest destruction in a sustainable way. Encapsulation technology is a promising procedure to increase the effectiveness of pesticide active ingredients while reducing human exposure and environmental impact. Despite the presumed favorable properties of encapsulated pesticide formulations on human health, it is necessary to systematically assess whether they are less harmful to human health than conventional pesticide products.Objectives: We aim to systematically review the literature to answer the question of whether micro-or nano -encapsulated pesticide formulations exert different degrees of toxicity than their conventional (not -encapsu-lated) counterparts in in vivo animal and in vitro (human, animal, and bacterial cell) non-target models. The answer is important to estimate the possible differences in the toxicological hazards of the two different types of pesticide formulations. Because our extracted data will come from different models, we also aim to perform subgroup analyses to investigate how toxicity varies across different models. A pooled toxicity effect estimate will also be performed by meta-analysis when appropriate. Methods: The systematic review will follow the guidelines developed by the National Toxicology Program's Office of Health Assessment and Translation (NTP/OHAT). The protocol adheres to the Preferred Reporting Items for Systematic Reviews and meta-analyses Protocol (PRISMA-P) statement. PubMed (NLM), Scopus (Elsevier), Web of Science Core Collection (Clarivate), Embase (Elsevier), and Agricola (EBSCOhost) electronic databases will be comprehensively searched in September 2022 to identify eligible studies using multiple search terms of ""pesti-cide"", ""encapsulation"" and ""toxicity"" along with their synonyms and other words that are semantically related. The reference lists of all eligible articles and retrieved reviews will be manually screened to identify additional relevant papers.Eligibility criteria: We will include peer-reviewed experimental (non-target in vivo animal model and in vitro human, animal, and bacterial cell cultures) studies published as full-text articles in English language that simultaneously investigate the effect of any micro-or nano-encapsulated pesticide formulation, applied in all ranges of concentrations, duration, and routes of exposure, and its corresponding active ingredient(s) or its conventional non-encapsulated product formulation(s) used in the same ranges of concentrations, duration, and routes of exposure on the same pathophysiological outcome. We will exclude studies that examine pesticidal activity on target organisms, cultures of cells isolated from target organisms exposed in vivo or in vitro, and those using biological materials isolated from target organisms/cells. Study appraisal and synthesis: Studies identified by the search will be screened and managed according to the review inclusion and exclusion criteria in the Covidence systematic review tool by two reviewers, who will also blindly extract the data and assess the risk of bias of included studies. The OHAT risk of bias tool will be applied to evaluate the quality and risk of bias in the included studies. Study findings will be synthesized narratively by important features of the study populations, design, exposure, and endpoints. If findings make it possible, a meta -analysis will be performed on identified toxicity outcomes. To rate the certainty in the body of evidence, we will use the Grading of Recommendations Assessment, Development and Evaluation (GRADE) approach.",NA,652
653,Lisa,NO,"Chavez, ASO; Valencia, SG; Lynn, GE; Rosario, CA; Thomas, DB; Johnson, TL",Evaluation of the in vitro acaricidal effect of five organic compounds on the cattle fever tick Rhipicephalus (Boophilus) microplus (Acari: Ixodidae),2023,EXPERIMENTAL AND APPLIED ACAROLOGY,NA,NA,NA,http://dx.doi.org/10.1007/s10493-023-00780-9,"The cattle fever tick, Rhipicephalus (Boophilus) microplus, is the most economically important tick worldwide. Infestations with this tick can lead to direct damage and cattle mortality due to the transmission of potentially deadly pathogens. Management of this tick species has been focused on the use of synthetical acaricides; however, the emergence of acaricide resistance to single or multiple active ingredients has resulted in a need for novel acaricide compounds. Among potential avenues for the discovery of novel acaricides are plant-derived compounds. The efficacy of five organic compounds (nootkatone, Stop the Bites (R), BioUD (R), lavender oil, and cedarwood oil) was evaluated using larval immersion tests (LITs), repellency assays, and adult immersion tests (AITs). The results from the LITs indicate that three of the organic compounds (NootkaShieldT, Stop the Bites, BioUD) led to significant mortalities at low concentrations (0.2, 0.02, and 0.08%, respectively). By comparison, lavender and cedar oil led to around 90% mortality at 10 and 1% concentrations, respectively. Similarly, NootkaShield, Stop the Bites, and BioUD had strong repellent properties with over 90% repellency at the two highest concentrations tested. Using the FAO 2004 guidelines, we evaluated the effectiveness of these organic compounds at reducing the fecundity of R. (B.) microplus and show that Nootkatone, Stop the Bites, and BioUD may significantly decrease tick populations (Drummond's index > 90% at concentrations of 5%), highlighting their potential as alternatives to synthetic acaricides for the control of cattle fever ticks.",NA,653
654,Lisa,NO,"Brankov, M; Vieira, BC; Raikovic, M; Simic, M; Jelena, V; Mandic, V; Dragicevic, V",Herbicide drift vs. crop resilience- the influence of micro-rates,2023,PLANT SOIL AND ENVIRONMENT,69,161,169,http://dx.doi.org/10.17221/58/2023-PSE,"A greenhouse study was conducted to test the effects of low herbicide dose exposure on different crops measuring visible damages, plant height, leaf area, and dry matter. Seven crops were tested: lettuce (Lactuca sativa L.) cv. Novosadska majska maslena, oil pumpkin (Cucurbita maxima Duch) cv. Olivija, oilseed rape (Brassica napus L.) cv. NS Ras, pepper (Capsicum annuum L.) cv. Kurtovska kapija, soybean (Glycine max (L.) Merr) cv. ZP Laura, sunflower (Helianthus annuus L.) cv. NS Kruna, and tomato (Solanum lycopersicum L.) cv. Dunavski Rubin. Herbicide dicamba in the range of 0.14 to 1 155.6 g a.i. (active ingredient)/ha inhibited biomass, height, leaf area, and visual injury of all crops, while glyphosate doses from 0.48 to 3 840 g a.i./ha also reduced the growth of all tested species. A rate of 116 g a.i./ha mesotrione was needed to reach 80% visual injury in oilseed rape, while the same effects on lettuce only required 1.8 g a.i./ha of mesotrione. Tomato and oil pumpkin were also sensitive to low mesotrione doses, where only 1.3 g and 0.5 g a.i./ha of mesotrione was needed for 80% of biomass reduction, respectively. Lettuce was the most sensitive crop of all tested species; biomass was reduced by 80% by dicamba, glyphosate, mesotrione, and nicosulfuron at the low rates of 33 g a.i./ha, 19 g a.i./ha, 1.25 g a.i./ha, and 2.7 g a.i./ha, respectively. Among all herbicides, visible injuries were detected in dicamba at the lowest rates. Soybean was the most tolerant of glyphosate, mesotrione, and nicosulfuron. Based on the available literature and obtained results, herbicide off-target movement must be mitigated to maximise herbicide efficacy and decrease the negative influence on susceptible plants and the environment.",NA,654
655,Lisa,NO,"Ziyat, H; Bennani, MN; Arif, S; Houssaini, J; Hajjaj, H",Fungicide formulation based on Thyme essential oil and clay for wheat protection,2023,RESEARCH ON CHEMICAL INTERMEDIATES,49,2769,2792,http://dx.doi.org/10.1007/s11164-023-05013-7,"Penicillium sp. is among fungi that can infect cereals, maize, and other foodstuffs, causing not only important yield losses but also contamination of the crops by toxins production, which make them unsafety for consumption. In this context, the main objective of this study is the development of clay/essential oil formulations against this type of fungus. Double-layer hydroxides (LDHs) and Ghassoul were chosen as clays, and Thyme as an essential oil and its active principle, thymol. The LDHs and Ghassoul materials underwent purification and activation treatments to increase their compatibility with the chosen essential oil. The different materials obtained were characterized by XRD and FTIR. The chemical compositions of the EOs were analyzed by GC-MS chromatography. The main constituents of Thyme oil founded were thymol (67.13%), rho-cymene (4.85%), Z-Caryophyllene (1.77%) and gamma-terpinene (2.74%). The adsorption of thymol on the different materials developed: activated Ghassoul (Gh-A), Hydrotalcite (HT3), and LDH (ZnAl-CO3), showed that the adsorption isotherms can be satisfactorily described by the Langmuir model. Also, the modeling of the adsorption kinetics revealed its conformity to the pseudo-second order model for the different materials. As a result, the adsorption capacity of thymol increases in the following order: ZnAl-CO3, HT3, and Gh-A. The formulations made from the different clays allowed for the preparation of an effective and useful fungicide for wheat storage. The in vitro antifungal activities were tested against the strain Penicillium sp. The results obtained revealed that the formulations based on Gh-A and LDHs retained their antifungal activity even after 5 months of storage. Therefore, in order to evaluate the potential of the formulations on cereals storage (wheat storage case), in vitro antifungal tests with the Gh-A/Thyme formulation were performed on four types of wheat (sterile, non-sterile, dried, and washed then dried wheat). These experiments demonstrated that sterile and washed-dried wheat had a significant inhibition against Penicillium sp. growth even after six months of storage.",NA,655
656,Lisa,NO,"Martins, WFS; Reid, E; Tomlinson, S; Evans, G; Gibson, J; Guy, A; Donnelly, M; Weetman, D",Improving the efficiency of aerosolized insecticide testing against mosquitoes,2023,SCIENTIFIC REPORTS,13,NA,NA,http://dx.doi.org/10.1038/s41598-023-33460-0,"Developing robust and standardised approaches for testing mosquito populations against insecticides is vital for understanding the effectiveness of new active ingredients or formulations. Methods for testing mosquito susceptibility against contact insecticides or products, such as those delivered through public health programmes, are well-established and standardised. Nevertheless, approaches for testing volatile or aerosolized insecticides used in household products can be challenging to implement efficiently. We adapted WHO guidelines for household insecticides to develop a standardised and higher-throughput methodology for testing aerosolized products in a Peet Grady test chamber (PG-chamber) using caged mosquitoes and an efficient decontamination method. The new approach was validated using insecticide resistant and susceptible Aedes and Anopheles mosquito colonies. An added feature is the inclusion of cage-facing cameras to allow real-time quantification of knockdown following insecticide exposure. The wipe-based decontamination method was highly effective for removing pyrethroids' aerosolized oil-based residues from chamber surfaces, with < 2% mortality recorded for susceptible mosquitoes tested directly on the surfaces. There was no spatial heterogeneity for knockdown or mortality of caged mosquitoes within the PG chamber. The dual-cage approach we implement yields eight-times the throughput compared to a free-flight protocol, allows simultaneous testing of different mosquito strains and effectively discriminates susceptible and resistant mosquito colonies tested side-by-side.",NA,656
657,Lisa,NO,"Bronzato, M; Burriss, A; King, N; Donaldson, C; Sayer, D; Baker, CM",Measuring the photostability of agrochemicals on leaves: understanding the balance between loss processes and foliar uptake,2023,PEST MANAGEMENT SCIENCE,79,3114,3121,http://dx.doi.org/10.1002/ps.7488,"BACKGROUNDPhotostability is an important property in agrochemicals, impacting their biological efficacy, environmental fate and registrability. As such, it is a property that is routinely measured during the development of new active ingredients and their formulations. To make these measurements, compounds are typically exposed to simulated sunlight after application to a glass substrate. While useful, these measurements neglect key factors that influence photostability under true field conditions. Most importantly, they neglect the fact that compounds are applied to living plant tissue, and that uptake and movement within this tissue provides a mechanism to protect compounds from photodegradation. RESULTSIn this work, we introduce a new photostability assay incorporating leaf tissue as a substrate, designed to run at medium throughput under standardized laboratory conditions. Using three test cases, we demonstrate that our leaf-disc-based assays provides quantitatively different photochemical loss profiles to an assay employing a glass substrate. And we also demonstrate that these different loss profiles are intimately linked to the physical properties of the compounds, the effect that those properties have on foliar uptake and, thereby, the availability of the active ingredient on the leaf surface. CONCLUSIONSThe method presented provides a quick and simple measure of the interplay between abiotic loss processes and foliar uptake, supplying additional information to facilitate the interpretation of biological efficacy data. The comparison of loss between glass slides and leaves also provides a better understanding of when intrinsic photodegradation is likely to be a good model for a compound's behaviour under field conditions. (c) 2023 Society of Chemical Industry.",NA,657
658,Lisa,NO,"Ma, R; Zheng, YD; Tian, HW; Chen, MM; Yue, YX; Bian, Q; Li, HB; Guo, DS",A general supramolecular adjuvant for pesticides based on host-guest recognition,2023,PEST MANAGEMENT SCIENCE,79,3133,3140,http://dx.doi.org/10.1002/ps.7492,"BACKGROUNDPesticides are indispensable in agriculture and can effectively improve the yields and quality of crops. Due to their weak water solubility, most pesticides need to be dissolved by adding solubilizing adjuvants. In this work, based on molecular recognition of the macrocyclic host, we developed a novel supramolecular adjuvant, called sulfonated azocalix[4]arene (SAC4A), which significantly improves the water solubility of pesticides. RESULTSSAC4A presents multiple advantages, including high water solubility, strong binding affinity, universality, and simple preparation. SAC4A showed an average binding constant value of 1.66 x 10(5) M-1 for 25 pesticides. Phase solubility results indicated that SAC4A increased the water solubility of pesticides by 80-1310 times. The herbicidal, fungicidal, and insecticidal activities of supramolecular formulations were found to be superior to those of technical pesticides, and the herbicidal effects were even better than those of commercial formulations. CONCLUSIONOverall results revealed the potential of SAC4A to improve the solubility and effectiveness of pesticides, providing a new development idea for the application of adjuvants in agriculture. (c) 2023 Society of Chemical Industry.",NA,658
659,Lisa,NO,"Baker, KA; White, GS; Faraji, A; Bibbs, CS",Enhancing toxic sugar meals against Aedes aegypti (Diptera: Culicidae) by adulterating with erythritol in combination with other active ingredients,2023,JOURNAL OF MEDICAL ENTOMOLOGY,60,833,836,http://dx.doi.org/10.1093/jme/tjad041,"Attractive toxic sugar baits (ATSBs) are an underexploited method for mosquito control. For ATSBs to be more widely accepted, demonstrably effective ingredients need to be verified. We investigated erythritol as a toxic additive in sugar meals against Aedes aegypti (L.) for potential future use in ATSBs. Erythritol is a sugar alcohol that is commonly used as a sugar substitute, while also being toxic to mosquitoes. Our studies tested formulations of erythritol, sucrose, and blends of both. Secondary investigations included combinations with the active ingredients Bacillus thuringiensis israelensis, spinosyn, and boric acid. Adult Ae. aegypti were separated into test groups and provided various combinations. Formulations containing erythritol, with or without another toxicant, exhibited 90% mortality within 72 h of observation (P = 0.03192). Additionally, erythritol appeared more effective when combined with sucrose in a 1:1 ratio (5% concentration each). This combination showed a 24% and 85% increase in mortality when combined with boric acid and Bti, respectively, at 48 h compared with equivalent groups containing only 10% sucrose. Erythritol appears to kill adult mosquitoes, even in relatively low concentrations, without another toxicant being required. However, erythritol also effectively enhances kill of main ingredient toxicants such as boric acid and Bti, showing a supporting role. The low concentration of erythritol needed to provide significant kill, its ability to fill in as both a sugar base and toxicant, and its ability to be safely handled by humans makes erythritol a strong candidate for use as a supporting ingredient in future bait formulations.",NA,659
660,Lisa,NO,"Carvalho, LB; Godoy, IS; Preisler, AC; Proenca, PLD; Saraiva-Santos, T; Verri, WA Jr; Oliveira, HC; Dalazen, G; Fraceto, LF",Pre-emergence herbicidal efficiency and uptake of atrazine-loaded zein nanoparticles: a sustainable alternative to weed control,2023,ENVIRONMENTAL SCIENCE-NANO,10,1629,1643,http://dx.doi.org/10.1039/d2en01064j,"In this study, we describe the development of zein nanoparticles associated with the herbicide atrazine and evaluate the pre-emergence activity of this formulation against a target (Brassica juncea) and a non-target (Zea mays) plant, as well as its soil mobility and uptake/transport in the tissues of Bidens pilosa plants. The proposed nanoformulation showed good colloidal stability, with nanoparticles of spherical shape, sizes between 130 and 170 nm, and an encapsulation efficiency of the active ingredient above 90%. The nanoencapsulation provided greater herbicide effectiveness against B. juncea, even at a dose 80 times lower than the recommended, without posing toxicity to the crop species. The monitoring of FITC-labeled nanoparticles indicated that the nanostructures were captured and accumulated in B. pilosa and Z. mays roots, but were poorly transported to the shoot. In addition, atrazine nanoencapsulation did not increase the mobility of the herbicide in the soil compared to the conventional formulation, remaining at the upper soil fractions, where the seed bank is located. Thus, these findings highlight the potential of this nanoformulation as an alternative for weed control.",NA,660
661,Lisa,NO,"Endris, YA; Mekonnen, KD",Formulation of Neem Leaf and Croton Seed Essential Oils as a Natural Insecticide Tested on Mosquitoes and Cockroaches,2023,ACS OMEGA,8,15052,15061,http://dx.doi.org/10.1021/acsomega.2c08026,"Essential oils are highly aromatic plant oils utilized as a new insect control alternative to synthetic insecticides because of environmental concerns. As a result, the purpose of this study was to evaluate the effects of essential oil extraction conditions on neem leaf and cotton seed, as well as to identify their chemical composition using gas chromatography-mass spectrometry. Moreover, both extracted oils were subjected to bioinsecticide formulation in individual as well as mixed forms, which were tested on mosquitoes and cockroaches using the conventional roach killer and a blank control as a comparison. The results revealed that the maximum yields of essential oils from neem leaf and croton seed were respectively 30.54 and 14.75%. The extraction process was greatly affected by the particle sizes because of the mass transfer limitation between solute-solvent interactions. The insecticidal evalua-tion showed that the blended form of essential oils at the 20% concentration has better efficiency than the individual oils, which accounted for 80% mosquito and 71.8% cockroach death rates within 4 h, whereas the synthetic roach killer completely killed all of the insects within the same time frame. Terpineol, a-terpinyl acetate, eucalyptol, and (5-cadinene are the active insecticidal compounds in neem leaf oil, whereas the active compounds of croton seed oil are epiglobulol, copaene, (5-cadinene, a-cubebene, and fi-guaiene.",NA,661
662,Lisa,NO,"Arrigo, E; Gilardi, S; Muratori, L; Raimondo, S; Mancardi, D",Biological effects of sub-lethal doses of glyphosate and AMPA on cardiac myoblasts,2023,FRONTIERS IN PHYSIOLOGY,14,NA,NA,http://dx.doi.org/10.3389/fphys.2023.1165868,"Introduction: Glyphosate is the active compound of different non-selective herbicides, being the most used agriculture pesticide worldwide. Glyphosate and AMPA (one of its main metabolites) are common pollutants of water, soil, and food sources such as crops. They can be detected in biological samples from both exposed workers and general population. Despite glyphosate acts as inhibitor of the shikimate pathway, present only in plants and some microorganisms, its safety in mammals is still debated. Acute glyphosate intoxications are correlated to cardiovascular/neuronal damages, but little is known about the effects of the chronic exposure.Methods: We evaluated the direct biological effects of different concentrations of pure glyphosate/AMPA on a rat-derived cell line of cardiomyoblasts (H9c2) in acute (1-2 h) or sub-chronic (24-48 h) settings. We analyzed cell viability/morphology, ROS production and mitochondrial dynamics.Results: Acute exposure to high doses (above 10 mM) of glyphosate and AMPA triggers immediate cytotoxic effects: reduction in cell viability, increased ROS production, morphological alterations and mitochondrial function. When exposed to lower glyphosate concentrations (1 mu M-1 mM), H9c2 cells showed only a slight variation in cell viability and ROS production, while mitochondrial dynamic was unvaried. Moreover, the phenotype was completely restored after 48 h of treatment. Surprisingly, the sub-chronic (48 h) treatment with low concentrations (1 mu M-1 mM) of AMPA led to a late cytotoxic response, reflected in a reduction in H9c2 viability.Conclusion: The comprehension of the extent of human exposure to these molecules remains pivotal to have a better critical view of the available data.",NA,662
663,Lisa,NO,"Gariso, R; Braga, MEM; Bernardo, FP",Analytical solution of volatile active ingredient release and subsequent dispersion in wind tunnel,2023,CHEMICAL ENGINEERING SCIENCE,276,NA,NA,http://dx.doi.org/10.1016/j.ces.2023.118764,"This paper proposes a new mathematical model describing the diffusion-controlled release of an active ingredient (AI) from a cylindrical product, followed by convection-dispersion transport in a wind tunnel through which air flows. The model aims to support the development of products with targeted AI release profiles. It was motivated by the particular case of a new product formulation releasing phytochemicals with insecticide activity. The well-known analytical solution for the AI transient release from the product is coupled with the analytical solution for the convection-dispersion transport along the tunnel through a simple approximation that introduces a negligible error. An overall analytical solution is thus obtained, having obvious advantages against numerical approximations, particularly for intensive computational tasks such as model fitting to experimental data, uncertainty analysis and product composition optimization.",NA,663
664,Lisa,NO,"Petrovic, S; Arsic, B; Zlatanovic, I; Milicevic, J; Glisic, S; Mitic, M; Durovic-Pejcev, R; Stojanovic, G",In Silico Investigation of Selected Pesticides and Their Determination in Agricultural Products Using QuEChERS Methodology and HPLC-DAD,2023,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,24,NA,NA,http://dx.doi.org/10.3390/ijms24098003,"In this study, we considered some pesticides as active substances within formulations for the protection of plant-based food in the Republic of Serbia in silico, because these pesticides have not often been investigated in this way previously, and in an analytical way, because there are not very many available fast, cheap, and easy methods for their determination in real agricultural samples. Seven pesticides were detected in selected agricultural products (tomatoes, cucumbers, peppers, and grapes) using the QuEChERS methodology and HPLC-DAD. Standard curves for the investigated pesticides (chlorantraniliprole, methomyl, metalaxyl, thiacloprid, acetamiprid, emamectin benzoate, and cymoxanil) show good linearity, with R-2 values from 0.9785 to 0.9996. The HPLC-DAD method is fast, and these pesticides can be determined in real spiked samples in less than 15 min. We further characterized the pesticides we found in food based on physicochemical properties and molecular descriptors to predict the absorption, distribution, metabolism, elimination, and toxicity (ADMET) of the compounds. We summarized the data supporting their effects on humans using various computational tools to determine their potential adverse effects. The results of our prediction study show that all of the selected pesticides considered in this study have good oral bioavailability, and those with high toxicity, therefore, could be harmful to human health. Chlorantraniliprole was shown in a molecular docking study as a good starting point for a new Alzheimer's disease drug candidate.",NA,664
665,Lisa,NO,"Prado, IS; da Rocha, AA; Silva, LA; Gonzalez, VC","Glyphosate-based formulation affects Tetragonisca angustula worker's locomotion, behavior and biology",2023,ECOTOXICOLOGY,32,513,524,http://dx.doi.org/10.1007/s10646-023-02658-3,"Declining bee populations diminish pollination services, damaging plant and agricultural biodiversity. One of the causes of this decline is the use of pesticides. Pesticides with glyphosate as the main active ingredient are among the most used pesticides worldwide, being the most used in Brazil. This study determined the 24 and 48 h LD50 (median lethal dose) of the herbicide's glyphosate-based formulation by ingestion, identified sublethal doses, and investigated its effects on the locomotion and behavior of Tetragonisca angustula workers. The LD50 found indicates that a glyphosate-based formulation is highly toxic to T. angustula. The doses applied, including concentrations found in nature, caused death, motor changes (decreased speed and tremors), excessive self-cleaning, and disorientation (return to light and stop). Although we did not test for pollination effects, we can infer from our results that this formulation can negatively affect the pollination activity of T. angustula. Evaluation of the toxicity and sublethal effects of pesticides on bees contributes to a better understanding of their harmful effects on hives and allows for the development of strategies to reduce these impacts.",NA,665
666,Lisa,NO,"Ikawati, S; Choliq, FA",Toxicity of Clove Oil Nanoparticles against Diamondback Moth Plutella xylostella (L.),2023,SAINS MALAYSIANA,52,1397,1405,http://dx.doi.org/10.17576/jsm-2023-5205-06,"Plutella xylostella, diamondback moth (DBM), has been one of the most challenging insects to control in the world to date. Environmentally friendly methods of control, such as the use of botanical insecticides, are available. A formulation that can sustain the main compound's level is required, which can be accomplished through soluble powder nanoformulation. The goal of this research was to test and evaluate the ability of clove oil nanoparticles produced from polyethylene glycol 6000 (PEG 6000) to control DBM utilizing a solid dispersion technique. Bioassay by leaf dip method in laboratory was used to test the lethal effect of clove oil nanoparticles (CO-NPs) on DBM. Clove oil nanoformulation was successful because it produced nanoparticles (179.98 nm in diameter) while maintaining high levels of the active component eugenol. Clove oil nanoparticles may increase clove oil's toxicity to DBM, seen from the LC50 value after 24 h of treatment. The LC50 values for clove oil nanoparticles after 24 and 48 h of treatment were 10.308 and 9.451%, respectively.",NA,666
667,Lisa,NO,"Yasar, I; Kok, S; Kasap, I","Acaricidal Effect of Orange Essential Oil on Two Spotted Spidermite, Tetranychus urticae Koch (Acari: Tetranychidae) under Laboratory Conditions",2023,JOURNAL OF TEKIRDAG AGRICULTURE FACULTY-TEKIRDAG ZIRAAT FAKULTESI DERGISI,20,NA,NA,http://dx.doi.org/10.33462/jotaf.1148184,"Tetranychus urticae Koch (Acari: Tetranychidae) is one of the phytophagous pests that cause serious economic losses in many cultivated plants. In the control of T. urticae, the use of chemicals usually comes to the fore. However, the use of chemicals in excessive amounts and in inappropriate times and doses causes many negativities because they leave residue and toxic effects on the products. Recently, studies on the effects of extracts obtained from plants on agricultural pests have been increasing day by day and yield successful results. In the study, the effect of an insecticide, which is a commercial formulation of orange oil, on egg laying behavior and acaricidal effect on T. urticae at different doses were investigated. The experiments were carried out in laboratory conditions at 65 +/- 10% humidity and 25 +/- 2 degrees C temperature conditions, on bean leaves, using leaf disc dipping method, using 5 different application doses (0.2, 0.4, 0.6, 1 and 2 ml of 100 ml-1 water) and 5 was carried out recursively. Observations were made at 1, 24, 48, 72 and 96 hours after the application by taking the counts of dead and live individuals. As a result of this study, the highest acaricidal effect on T. urticae individuals was determined with a mortality rate of 75.56% at 2% concentration of orange oil 96 hours after the application. In the 96th hour observations, the lowest acaricidal effect was detected at a concentration of 20% to 0.2%. Accordingly, it was observed that the acaricide effect increased as the concentration and duration of the orange oil studied in the study increased. When the effect of the insecticide with orange oil active substance on the egg laying behavior of T. urticae was examined, the number of eggs in the control group was determined as 99.40 +/- 1.26 at the same observation time, at the 2% concentration of the insecticide used, while 8.80 +/- 1.87 eggs were detected at the end of 96 hours. As a result, the acaricidal effect of orange oil on T. urticae shows that it can be used as an alternative control agent to chemical control.",NA,667
