"STUDY_ID","REVIEWERS","INCLUDE","STUDY_ID.2","REVIEWERS.1","INCLUDE.1","AUTHORS","TITLE","YEAR","JOURNAL","VOLUME","LPAGES","UPAGES","DOI","ABSTRACT","...13","STUDY_ID.1"
"60","Lisa","NO","649","Lisa","maybe","Piovesan, B; Miranda, JAC; Gon�alves, RD; N�rnberg, SD; Bernardi, D; Botton, M; Nava, DE","Lethal and sublethal effects of toxic bait formulations on Doryctobracon areolatus (Hymenoptera: Braconidae) and implications for integrated fruit fly management","2023","JOURNAL OF ECONOMIC ENTOMOLOGY","116","855","863","http://dx.doi.org/10.1093/jee/toad069","The use of toxic baits has become one of the main methods of management of fruit flies in Brazil. The application of toxic baits may cause side effects on the native parasitoid Doryctobracon areolatus (Hymenoptera: Braconidae). Based on the results, formulations made from the food attractants 3% Biofruit, 1.5% Ceratrap, 1.25% Flyral, 3% Isca Samarita, 3% Isca Samarita Tradicional, and 7% sugarcane molasses associated with the Malathion 1000 EC and the ready-to-use toxic bait Gelsura (containing the active ingredient alpha-cypermethrin) were classified as harmful (class 4) to D. areolatus (mortality > 85% at 96 HAE). In contrast, for toxic baits formulated with insecticide phosmet, the mortality ranged from 38% to 72%, classified as slightly harmful or moderately harmful. However, when phosmet was added to the 3% Samarita Tradicional bait, the mortality was only 3.9% (class 1-harmless), similar to the toxicity observed for the Success 0.02 CB ready-to-use bait (0.24 g a.i. spinosad/l) (<5% mortality). Although toxic baits were formulated with spinosyn-based insecticides, all toxic bait formulations were classified as harmless or slightly harmful (<50% mortality) to D. areolatus, with the exception of 1.5% Ceratrap + spinetoram and 7% Sugarcane molasses + spinosad (approximate to 60% mortality-moderately harmful). In addition, these formulations did not show sublethal effects in reducing the parasitism and emergence rate of the F-1 generation of D. areolatus in A. fraterculus larvae. The results serve as a basis for the correct use of toxic food baits without affecting the biological control.",NA,"649"
"61","Lisa","NO","652","Lisa","maybe","Makame, KR; Sherif, M; �stlundh, L; S�ndor, J; Ad�m, B; Nagy, K","Are encapsulated pesticides less harmful to human health than their conventional alternatives? Protocol for a systematic review of in vitro and in vivo animal model studies","2023","ENVIRONMENT INTERNATIONAL","174",NA,NA,"http://dx.doi.org/10.1016/j.envint.2023.107924","Background: The gradual increase in the global population has led to the rising demand for agricultural products worldwide. This required the introduction of environment-and public health-friendly advanced technologies for plant protection to guard yields from pest destruction in a sustainable way. Encapsulation technology is a promising procedure to increase the effectiveness of pesticide active ingredients while reducing human exposure and environmental impact. Despite the presumed favorable properties of encapsulated pesticide formulations on human health, it is necessary to systematically assess whether they are less harmful to human health than conventional pesticide products.Objectives: We aim to systematically review the literature to answer the question of whether micro-or nano -encapsulated pesticide formulations exert different degrees of toxicity than their conventional (not -encapsu-lated) counterparts in in vivo animal and in vitro (human, animal, and bacterial cell) non-target models. The answer is important to estimate the possible differences in the toxicological hazards of the two different types of pesticide formulations. Because our extracted data will come from different models, we also aim to perform subgroup analyses to investigate how toxicity varies across different models. A pooled toxicity effect estimate will also be performed by meta-analysis when appropriate. Methods: The systematic review will follow the guidelines developed by the National Toxicology Program's Office of Health Assessment and Translation (NTP/OHAT). The protocol adheres to the Preferred Reporting Items for Systematic Reviews and meta-analyses Protocol (PRISMA-P) statement. PubMed (NLM), Scopus (Elsevier), Web of Science Core Collection (Clarivate), Embase (Elsevier), and Agricola (EBSCOhost) electronic databases will be comprehensively searched in September 2022 to identify eligible studies using multiple search terms of ""pesti-cide"", ""encapsulation"" and ""toxicity"" along with their synonyms and other words that are semantically related. The reference lists of all eligible articles and retrieved reviews will be manually screened to identify additional relevant papers.Eligibility criteria: We will include peer-reviewed experimental (non-target in vivo animal model and in vitro human, animal, and bacterial cell cultures) studies published as full-text articles in English language that simultaneously investigate the effect of any micro-or nano-encapsulated pesticide formulation, applied in all ranges of concentrations, duration, and routes of exposure, and its corresponding active ingredient(s) or its conventional non-encapsulated product formulation(s) used in the same ranges of concentrations, duration, and routes of exposure on the same pathophysiological outcome. We will exclude studies that examine pesticidal activity on target organisms, cultures of cells isolated from target organisms exposed in vivo or in vitro, and those using biological materials isolated from target organisms/cells. Study appraisal and synthesis: Studies identified by the search will be screened and managed according to the review inclusion and exclusion criteria in the Covidence systematic review tool by two reviewers, who will also blindly extract the data and assess the risk of bias of included studies. The OHAT risk of bias tool will be applied to evaluate the quality and risk of bias in the included studies. Study findings will be synthesized narratively by important features of the study populations, design, exposure, and endpoints. If findings make it possible, a meta -analysis will be performed on identified toxicity outcomes. To rate the certainty in the body of evidence, we will use the Grading of Recommendations Assessment, Development and Evaluation (GRADE) approach.",NA,"652"
"62","Lisa","NO","668","Lisa","maybe","Andreolli, M; Lampis, S; Tosi, L; Marano, V; Zapparoli, G","Fungicide sensitivity of grapevine bacteria with plant growth-promoting traits and antagonistic activity as non-target microorganisms","2023","WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY","39",NA,NA,"http://dx.doi.org/10.1007/s11274-023-03569-5","This study evaluates the capacity of commercial formulations of synthetic fungicides to inhibit grapevine bacterial growth when sprayed on vineyards to control diseases, such as downy mildew, powdery mildew and secondary rots. Fungicide sensitivity plate assays were carried out on bacteria isolated from vineyards that were also identified and characterized for their plant growth-promoting (PGP) traits and antifungal activity. The high taxonomic variability of bacteria screened with different chemical classes of fungicides is one new finding of this study. Seven out of 11 fungicides were able to inhibit the growth of bacteria at a concentration corresponding to the maximum dose allowed by law in spray treatments of vineyards. Bacterial sensitivity to each fungicide varied greatly. Many sensitive isolates displayed PGP traits and/or antagonistic activity. This study shows the potential impact of fungicidal treatments on grapevine bacterial microbiota. The involvement of bacteria beneficial to the growth and health of plants underlines the importance of this investigation. Our data reveal that the control of a certain disease may be possible using fungicides that have no or low impact on natural non-target microbiota. Understanding the action mechanisms of the active ingredients in these products is a priority for the development of new eco-friendly pesticides.",NA,"668"
"63","Lisa","NO","669","Lisa","maybe","Hergueta-Castillo, ME; L�pez-Ruiz, R; Membrive, PM; Romero-Gonz�lez, R; Frenich, AG","Dissipation of penconazole formulation in horticultural crops by ultrahigh performance liquid chromatography-high resolution mass spectrometry: From the active substance to metabolites","2023","FOOD CHEMISTRY","422",NA,NA,"http://dx.doi.org/10.1016/j.foodchem.2023.136266","The present study describes the dissipation and metabolism of penconazole in horticultural products by a method based on ultra-high performance liquid chromatography-quadrupole-orbitrap (UHPLC-Q-Orbitrap). Targeted and suspected analysis were carried out. Two independent trials were performed under laboratory conditions (on courgette samples), and under greenhouse conditions (on tomatoes) during 43 and 55 days, respectively. In both studies, a pesticide formulation (TOPAS (R) EW) containing penconazole was used. The results showed that penconazole was relatively short-lived (<30 days) in horticultural products. The proposed method allowed for the tentative identification and semi-quantification of nine metabolites. In addition, the potential toxicity of these metabolites was evaluated, observing that some of them are even more toxic than penconazole, as triazole lactic acid. This research may provide a starting point for understanding the dissipation process of penconazole, the formation pathways of its main metabolites, their concentrations and toxicity to ensure food safety and the environmental protection.",NA,"669"
"64","Lisa","NO","671","Lisa","maybe","Rani, N; Duhan, A; Pal, A; Kumari, P; Beniwal, RK; Verma, D; Goyat, A; Singh, R","Are nano-pesticides really meant for cleaner production? An overview on recent developments, benefits, environmental hazards and future prospectives","2023","JOURNAL OF CLEANER PRODUCTION","411",NA,NA,"http://dx.doi.org/10.1016/j.jclepro.2023.137232","The world is seeking hard for sustainable agricultural practices with one of the prime objectives to improve crop yield through effective pest management. Scientific diaspora has already established that a significant amount of the pesticide is not being used by the crops and finds its way into the environment through leaching, evaporation, sorption etc., leading to adverse effects on human health and the ecosystem. Undoubtedly, nanotechnology is bringing a revolutionary change in agriculture through effective pest management. The main purpose of intro-ducing nano-pesticides is to reduce the indiscriminate use of conventional pesticides and their harmful impacts on the environment. Nano-formulations can improve the efficiency of pesticides by enhancing permeability, solubility, and stability along-with controlling their release profile and protecting them from premature degra-dation. The present review is accordingly assembled to significantly investigate the developmental updates of nano-pesticides since the past decades, their ultimate fate, ecotoxicological risks and betterment over their conventional analogues. Nano-pesticides including nanomaterials as active ingredients, nano-encapsulations, nano-emulsions, nano-suspensions are discussed. Additionally, critical information and the foreseeable research gaps in this emerging area are highlighted. Currently, there is a dearth of fundamental knowledge about how nano-formulations will behave in the environment. It is still unclear whether they will genuinely produce noticeable benefits or represent a new class of hazards. Very scanty information is available on their ecotoxi-cological behaviour, guidelines, and policymaking for their safer use globally. Introducing these smart nano-formulations within the domain of the current pesticide regulatory frameworks is still under debate. Thus, a discussion of the pros and cons of nano-pesticides is of prime importance for justifying their status of cleaner production.",NA,"671"
"65","Lisa","NO","678","Lisa","maybe","De la Parra-Guerra, A; Acevedo-Barrios, R","Studies of Endocrine Disruptors: Nonylphenol and Isomers in Biological Models","2023","ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY","42","1439","1450","http://dx.doi.org/10.1002/etc.5633","Certain emerging pollutants are among the most widely used chemicals globally, causing widespread concern in relation to their use in products devoted to cleaniness and asepsis. Nonylphenol ethoxylate (NPEOn) is one such contaminant, along with its degradation product, nonylphenol, an active ingredient presents in nonionic surfactants used as herbicides, cosmetics, paints, plastics, disinfectants, and detergents. These chemicals and their metabolites are commonly found in environmental matrices. Nonylphenol and NPEOn, used, are particularly concerning, given their role as endocrine disruptors chemical and possible neurotoxic effects recorded in several biological models, primarily aquatic organisms. Limiting and detecting these compounds remain of paramount importance. The objective of the present review was to evaluate the toxic effects of nonylphenol and NPEOn in different biological models. Environ Toxicol Chem 2023;00:1-12. (c) 2023 SETAC",NA,"678"
"66","Lisa","YES","685","Lisa","maybe","Li, X; Zhou, ZY; Huang, YQ; Tang, G; Liu, YL; Chen, X; Yan, GY; Wang, HC; Zhang, XH; Wang, JL; Cao, YS","A high adhesion co-assembly based on myclobutanil and tannic acid for sustainable plant disease management","2023","PEST MANAGEMENT SCIENCE","79","3796","3807","http://dx.doi.org/10.1002/ps.7564","BackgroundPesticides are irreplaceable inputs for protecting crops from pests and improving crop yield and quality. Self-assembly nanotechnology is a promising strategy by which to develop novel nano-formulations for pesticides. Nano-formulations improve the effective utilization of pesticides and reduce risks to the environment because of their eco-friendly preparation, high drug loading, and desirable physicochemical properties. Here, to enhance the utilization efficiency of myclobutanil (MYC) and develop a novel nano-formulation, carrier-free co-assembled nanoparticles (MT NPs) based on MYC and tannic acid (TA) were prepared by noncovalent molecular interactions using a green preparation process without any additives. ResultsThe results showed that the prepared spherical nanoparticles had good stability in neutral and acidic aqueous solutions, low surface tension (40.53 mN m(-1)), high rainfastness, and good maximum retention values on plant leaves. Release of active ingredients from MT NPs could be regulated by altering the molar ratio of subassemblies in the co-assembly and the pH of the environment. Antifungal experiments demonstrated that MT NPs had better activities against Alternaria alternata and Fusarium graminearum [half-maximal effective concentration (EC50) = 6.40 and 77.08 mg/L] compared with free MYC (EC50 = 11.46 and 124.82 mg/L), TA (EC50 = 251.19 and 503.81 mg/L), and an MYC + TA mixture (EC50 = 9.62 and 136.21 mg/L). These results suggested that MYC and TA incorporated in the co-assembled nanoparticles had a synergistic antifungal activity. The results of a genotoxicity assessment indicated that MT NPs could reduce the genotoxicity of MYC to plant cells. ConclusionCo-assembled MT NPs with synergistic antifungal activity have outstanding potential for the management of plant diseases. (c) 2023 Society of Chemical Industry.",NA,"685"
"67","Lisa","YES","703","Lisa","maybe","Gao, YF; Ren, YJ; Chen, JC; Cao, LJ; Qiao, GH; Zong, SX; Hoffmann, AA; Wei, SJ; Yang, Q","Effects of fungicides on fitness and Buchnera endosymbiont density in Aphis gossypii","2023","PEST MANAGEMENT SCIENCE","79","4282","4289","http://dx.doi.org/10.1002/ps.7625","BackgroundSeveral agricultural fungicides are known to affect insect pests directly and these effects may be transgenerational and mediated through impacts on endosymbionts, providing opportunities for pest control. The cotton aphid Aphis gossypii is a polyphagous pest that can cause large crop yield losses. Here, we tested the effects of three fungicides, pyraclostrobin, trifloxystrobin and chlorothalonil, on the fitness and Buchnera endosymbiont of A. gossypii. ResultsThe formulations of trifloxystrobin and pyraclostrobin, and the active ingredient of pyraclostrobin produced dose-dependent mortality in A. gossypii, whereas there was no dose-dependent mortality for chlorothalonil. The formulations of trifloxystrobin and pyraclostrobin significantly reduced the lifespan and fecundity of A. gossypii, and increased the density of Buchnera in the parental generation but not the (unexposed) F-1. When the active ingredient of pyraclostrobin was tested, the lifespan of the F-0 generation was also reduced, but the density of Buchnera was not, indicating that non-insecticidal chemicals in the fungicide formulation may affect the density of the endosymbiont of A. gossypii. There was no transgenerational effect of the active ingredient of pyraclostrobin on the lifespan and Buchnera of (unexposed) F-1. ConclusionsOur results suggest that formulations of two strobilurin fungicides have immediate impacts on the fitness of A. gossypii, and chemicals in the formulation impact the density of the primary Buchnera endosymbiont. Our study highlights the potential effects of non-insecticidal chemicals of fungicides on aphid pests and their primary endosymbionts but direct connections between fitness and Buchnera densities remain unclear. & COPY; 2023 Society of Chemical Industry.",NA,"703"
"68","Lisa","YES","705","Lisa","maybe","Kl�tyik, S; Simon, G; Ol�h, M; Mesnage, R; Antoniou, MN; Zaller, JG; Sz�k�cs, A","Terrestrial ecotoxicity of glyphosate, its formulations, and co-formulants: evidence from 2010-2023","2023","ENVIRONMENTAL SCIENCES EUROPE","35",NA,NA,"http://dx.doi.org/10.1186/s12302-023-00758-9","Glyphosate (GLY), the most widely used herbicide in the world, is frequently detected in various environmental matrices, including soil, the foundation of agriculture. In practice, more than 2000 GLY-based herbicide (GBH) products are used, consisting of one or more active ingredients (AIs) and so-called ""inert"" co-formulants that increase the efficacy of the AIs. However, the focus of ecotoxicological assessments is mainly on AIs, while organisms are exposed to complex pesticide formulations under real-world conditions. Overall, the effects on non-target organisms indicate a broad range of biochemical and physiological modes of action, which contrasts with the general assumption that herbicides are specific and act only on target plants. Both GLY alone and GBHs have unintended side-effects on many terrestrial organisms, including non-target plants, microorganisms, insects, spiders, or earthworms, as well as vertebrates such as amphibians, reptiles, or mammals. One of the triggering mechanisms for these effects is oxidative stress with consequences on biochemical parameters and DNA damage. In addition, disruptions of various physiological, behavioral and ecological processes have been reported. Most studies have examined the short-term effects of a single application of GLY/GBH to a single species. However, the agricultural practice of applying GBHs two to three times during a cultivation season over an extended period of time, the interactions with other pesticides and agrochemicals applied to the same field, and effects on ecological interactions within the field and landscape are rarely considered. In the vast majority of cases, the toxicity of GBHs exceeds the toxicity of GLY, demonstrating that supposedly inert co-formulants are either toxic in their own right or interact and add to the toxicity of AIs. The chemical diversity of different GBHs and the non-disclosure of the co-formulants make it difficult to attribute effects to specific chemical substances within a GBH. Moreover, impurities in GBHs (e.g., heavy metals such as arsenic, chromium, cobalt) pose additional environment and food safety risks. These impacts are even more critical because GBHs are so widely distributed worldwide and interact with other pollutants and environmental stressors. Based on the available literature on terrestrial ecotoxicity, and given the drastic decline in biodiversity, we conclude that the continued high use of GBHs, resulting in increased exposure and risk, cannot be considered ecologically sustainable.",NA,"705"
"69","Lisa","NO","707","Lisa","maybe","Paradva, KC; Kalla, S","Nanopesticides: A Review on Current Research and Future Perspective","2023","CHEMISTRYSELECT","8",NA,NA,"http://dx.doi.org/10.1002/slct.202300756","The survival of humans depends critically on crop production, making crop protection absolutely essential. Numerous studies have suggested that nanopesticides could soon fully replace conventional pesticides since they are far more effective than those now in use. Due to an increase in their surface-to-volume ratio, nanomaterials exhibit different properties from their bulk counterparts. Nanopesticides are pesticides that have been made with these nanoparticles and have a high application efficiency and significantly fewer hazardous environmental impacts than pesticides that have been made chemically. Various formulation strategies, which include the containment of the active substance by the nanoparticles, have previously been established, exhibiting promising effects on the pests. Target specificity, high stability, and controlled active ingredients (AIs) release are a few of the noteworthy qualities these nanopesticides offer. The development of green nanopesticides derived from nature, which have very low ecotoxicities and nanoscale qualities, can also have a significant positive impact on crop output. However, before being mass-produced and used, the discovery still has to be thoroughly examined to determine its effects on people and the environment due to the lack of conclusive proof demonstrating its toxicity. This paper aims to represent the use of nanopesticides in crop protection and a detailed overview of the various methods for the formulation of nanopesticides. Also, the possible negative impacts on the non-target species by the application of nanopesticides have been briefly discussed. The need for the development of green nanopesticides to avoid the negative aspects of nanopesticides has also been highlighted.",NA,"707"
"70","Lisa","YES","716","Lisa","maybe","Ding, YR; Wang, QL; Zhu, GK; Zhang, P; Rui, YK","Application and perspectives of nanopesticides in agriculture","2023","JOURNAL OF NANOPARTICLE RESEARCH","25",NA,NA,"http://dx.doi.org/10.1007/s11051-023-05811-5","Nanopesticide is an important application of nanotechnology in the agriculture for the past 20 years, which has received significant attention in controlled release and targeted transport as well as reduced dosage, with sizes typically less than 100 nm and large relative surface area. Despite the great role played by nanopesticides in pest and disease control, their toxicological effects cannot be ignored. But the state of knowledge on the biotoxicological effects of nanopesticides is limited, particularly regarding to their environmental fate and behavior. Based on this situation, we discuss the characteristics and applications of five examples of nanopesticide formulations whose nanomaterials react with active ingredients; we analyze the behavior and ecotoxicity of nanopesticides in the environment, mainly in soil and the three aspects of toxic effects; and we discuss the issues that need attention in risk assessment and management. Although there are some challenges and concerns about nanopesticides, in the long run, nanopesticides are worthy of further study and have good prospects for development.",NA,"716"
"71","Lisa","NO","720","Lisa","maybe","Kim, SI; Boo, KH; Na, YE; Tak, JH","Screening of insecticidal activity of plant essential oils and extract-based formulations against four agricultural insect pests and their risk assessment","2023","JOURNAL OF ASIA-PACIFIC ENTOMOLOGY","26",NA,NA,"http://dx.doi.org/10.1016/j.aspen.2023.102127","Frankliniella occidentalis (Pergande), Myzus persicae (Sulzer), Plutella xylostella (L), and Spodoptera exigua (Hubner) are notorious agricultural insect pests worldwide. Due to the rapid development of resistance to the conventional insecticides, the number of available insecticides might be reduced in a near future, and botanical insecticides can be considered as one of the potential candidates to solve this problem. In the present study, test formulations were prepared using plant essential oils and extracts as main active ingredients, and their insecticidal activity and phytotoxicity were examined. Among the combinations tested, two oil-in-water formulations of NRS-13 containing thyme white oil and NRS-24 containing basil and rosemary oils were selected based on their notable insecticidal activity and low phytotoxicity. Chemical analyses on the active essential oils, the quantitative analysis of the major components in the formulations, insecticidal activities under pot and field conditions, their acute toxicity on mammals, and ecotoxicity on fish were also examined. The NRS-13 (BaechooSaferTM) and NRS-24 (JindiOutTM) formulations showed species-specific insecticidal activity against P. xylostella and M. persicae, respectively. In addition, both formulations produced low acute oral and dermal toxicity, skin and eye irritation, and fish toxicities, which suggests those formulations based on essential oils could be considered as insecticides for pest control in small-scale environments in organic farming.",NA,"720"
"72","Lisa","NO","724","Lisa","maybe","Lombardi, N; Pironti, A; Manganiello, G; Marra, R; Vinale, F; Vitale, S; Lorito, M; Woo, SL","Trichoderma Species Problematic to the Commercial Production of Pleurotus in Italy: Characterization, Identification, and Methods of Control","2023","MICROBIOLOGY RESEARCH","14","1301","1318","http://dx.doi.org/10.3390/microbiolres14030088","Nine isolates of Trichoderma were obtained from the diverse phases of compost preparation and the production of different commercial varieties of oyster mushrooms Pleurotus spp. with the apparent presence of green mould disease. The isolates were morphologically and genetically characterized. Molecular fingerprinting indicated that the isolates belonged to the species T. pleuroticola and T. harzianum. In order to identify control measures, changes in temperature, pH, and application of fungicides were tested on the present isolates, using known Trichoderma biocontrol strains as a reference. Fungicide effects on the growth of Pleurotus isolates were also assessed. The optimal growth temperatures were 25 C-degrees for Trichoderma isolates and 28 C-degrees for Pleurotus isolates, and Trichoderma always grew faster than Pleurotus. In particular, a reduction of about 30% was recorded for some of the Trichoderma isolates when comparing the colony growth at 25 and 28 C-degrees. Trichoderma isolates developed well within a wide pH range, with the best growth occurring between pH 5 and 7, whereas Pleurotus preferred more alkaline conditions (pH 8 to 9). Prochloraz and metrafenone were found to inhibit Trichoderma growth with different dose responses that did not affect the growth of Pleurotus spp. In particular, metrafenone was the most effective active ingredient that inhibited the majority of the Trichoderma isolates (1-25% growth reduction).",NA,"724"
"73","Lisa","NO","739","Lisa","maybe","Ashu, FA; Fouet, C; Ambadiang, MM; Penlap-Beng, V; Kamdem, C","Vegetable oil-based surfactants are adjuvants that enhance the efficacy of neonicotinoid insecticides and can bias susceptibility testing in adult mosquitoes","2023","PLOS NEGLECTED TROPICAL DISEASES","17",NA,NA,"http://dx.doi.org/10.1371/journal.pntd.0011737","BackgroundThe standard operating procedure for testing the susceptibility of adult mosquitoes to neonicotinoid or butenolide insecticides recommends using a vegetable oil ester (Mero) as a surfactant. However, there is growing evidence that this adjuvant contains surfactants that can enhance insecticide activity, mask resistance and bias the bioassay.Methodology/Principal findingsUsing standard bioassays, we tested the effects of commercial formulations of vegetable oil-based surfactants similar to Mero on the activity of a spectrum of active ingredients including four neonicotinoids (acetamiprid, clothianidin, imidacloprid and thiamethoxam) and two pyrethroids (permethrin and deltamethrin). We found that three different brands of linseed oil soap used as cleaning products drastically enhanced neonicotinoid activity in Anopheles mosquitoes. At 1% (v/v), the surfactant reduced the median lethal concentration, LC50, of clothianidin more than 10-fold both in susceptible and in resistant populations of Anopheles gambiae. At 1% or 0.5% (v/v), linseed oil soap restored the susceptibility of adult mosquitoes fully to clothianidin, thiamethoxam and imidacloprid and partially to acetamiprid. By contrast, adding soap to the active ingredient did not significantly affect the level of resistance to permethrin or deltamethrin suggesting that vegetable oil-based surfactants specifically enhance the potency of some classes of insecticides.Conclusions/SignificanceOur findings indicate that surfactants are not inert ingredients, and their use in susceptibility testing may jeopardize the ability to detect resistance. Further research is needed to evaluate the potential, the limitations and the challenges of using some surfactants as adjuvants to enhance the potency of some chemicals applied in mosquito control. Monitoring the susceptibility of insect populations to chemical insecticides provides vital information for resistance management. New chemicals are being tested and added to the arsenal used for malaria prevention. As a result, the World Health Organisation (WHO) standard operating procedure for testing insecticide susceptibility in adult mosquitoes has been updated to include new active ingredients. To evaluate their susceptibility to clothianidin, a neonicotinoid or to flupyradifurone, a butenolide, adult mosquitoes are not exposed to the active ingredient alone, but to a mixture containing a surfactant which helps to solubilize the pesticide. In the present study, we report that surfactants such as vegetable oil esters or soap can enhance the potency of some active ingredients. Because of this synergistic action, the actual level of susceptibility of the insect populations tested can be largely overestimated. However, the results also reveal that some affordable products such as soaps can enhance the efficacy of neonicotinoids against mosquitoes. Although it remains unclear how soaps can be used as an adjuvant in insecticide formulations applied against mosquitoes, their potential utility warrants further investigations.",NA,"739"
"74","Lisa","YES","741","Lisa","maybe","Shannon, B; Jeon, H; Johnson, RM","Review: the risks of spray adjuvants to honey bees","2023","JOURNAL OF INSECT SCIENCE","23",NA,NA,"http://dx.doi.org/10.1093/jisesa/iead100","Pesticide applications are often made as tank mixes containing multiple pesticide products and may include spray adjuvants to enhance pesticidal activities. The primary aim of adjuvant products is to increase the spreading and sticking of spray droplets and to increase the penetration of active ingredients through the cuticles of leaves or targeted pests, which can reduce the amount of active ingredient needed for effective pest control. Adjuvants are made up of compounds drawn from the ""inert ingredient"" list maintained by EPA but are identified as ""principal functioning agents"" when used in adjuvant products. These inert compounds do not undergo the same testing and risk assessment process that is required of pesticide active ingredients and generally have no mitigation measures that prevent application onto crops during bloom at times of day when bees are foraging. Honey bees (Apis mellifera;Hymenoptera:Apidae) are at an increased risk of exposure to adjuvant tank mixtures while providing agricultural pollination services. Colony losses attributed to pesticide applications thought to have low risk to honey bees have been reported, highlighting the need to better understand the toxicity of adjuvants included in pesticide tank mixtures. This review summarizes current literature on the risks posed to honey bees by agricultural adjuvants and tank mix combinations of adjuvants with pesticides. Based on the current state of knowledge, we make recommendations to pesticide applicators, product manufacturers, regulatory agencies, and researchers regarding adjuvant toxicity to honey bees with the goal of reducing risks that adjuvants pose to honey bees and other beneficial insects.",NA,"741"
"75","Lisa","NO","752","Lisa","maybe","Romano, CA; Neto, JRD; da Cunha, LC; dos Santos, AH; de Paula, JR","Essential oil-based nanoemulsion of Murraya koenigii is an efficient larvicidal against Aedes aegypti under field conditions","2024","INDUSTRIAL CROPS AND PRODUCTS","208",NA,NA,"http://dx.doi.org/10.1016/j.indcrop.2023.117836","Murraya koenigii is a plant species with economic and cultural importance in Asian countries. Many studies have shown a wide biopotential of M. koenigii products, including for insect control. Aedes aegypti is the main vector of dengue, among other arboviruses. Estimates show that approximately 2.5 billion people are at risk of infection. Attempts at vector control favored the emergence of resistance to available chemical insecticides. Therefore, it is necessary to develop alternative formulations for vector control. This research aimed to evaluate the larvicidal activity of the essential oil from M. koenigii leaves against Ae. aegypti. The death time and bioavailability of the material in aqueous medium, as well as the influence of the type of breeding site on the lethal effect, were investigated. A nanoemulsion was developed as a dispersion system to increase the bioavailability of the essential oil. A test for evaluating the mutagenic potential of Allium cepa meristems was performed as a form of toxicological screening. It was observed that the essential oil from M. koenigii leaves was highly promising in terms of larvicidal activity against Ae. aegypti, both under controlled conditions and in the field. The nanoemulsion showed adequate stability and considerably increased the bioavailability time of the active ingredient in a liquid medium. No genotoxic events were observed in A. cepa cells, but the nanoemulsion showed antiproliferative effects.",NA,"752"
"76","Lisa","YES","766","Lisa","maybe","Mielnik, L; Bejger, R; Ukalska-Jaruga, A; Cwielag-Piasecka, I; Weber, J; Jerzykiewicz, M; Kocowicz, A; Jamroz, E; Debicka, M; Bekier, J; Podlasinski, M; Debaene, G","Sorption of pendimethalin by humin fraction isolated from the mollic horizon of Chernozems","2024","JOURNAL OF ELEMENTOLOGY","29","37","55","http://dx.doi.org/10.5601/jelem.2023.28.4.3211","The aim of the research was to investigate interactions between pendimethalin (PE), an active substance of plant protection products, and the humin fraction (HM), which is the most recalcitrant component of soil organic matter. The soil material used for the study was collected from the mollic horizon of two Chernozems different in physicochemical properties. HM was obtained in the solid state after discarding humic acid (HA) and fulvic acid (FA) and digesting the mineral fraction in an HF-HCl mixture. Pure PE and two commercial products containing the substance (Penfox 330 EC and Stomp Aqua 455 SC), dissolved in hexane and added to the HM, were used in the research. The batch sorption experiment was carried out in accordance with OECD Guidelines for the Testing of Chemicals No.106. Spectroscopic methods (UV-Vis-nearIR and fluorescence) were used to assess the molecular characteristics of HM exposed to pesticides. The study showed significant differences in the molecular structures of the tested HM as a result of interactions with the pesticides used. The results revealed that PE had a different effect than the commercial products, and proved that the composition of commercial products significantly modified the strength and ability of organic matter to bind pesticides. This is probably related to the presence of adjuvants that are more competitive in forming bonds with the active sorption sites of HM, and thus strengthen or weaken the process of forming pesticide-HM complexes. As a result, the diversity of the molecular structure of HM and the presence of accompanying substances in commercial pesticide products interact, leading to different sorption mechanisms and durability of the resulting products.",NA,"766"
"77","Lisa","YES","777","Lisa","maybe","Martins, RX; Carvalho, M; Maia, ME; Flor, B; Souza, T; Rocha, TL; F�lix, LM; Farias, D","2,4-D Herbicide-Induced Hepatotoxicity: Unveiling Disrupted Liver Functions and Associated Biomarkers","2024","TOXICS","12",NA,NA,"http://dx.doi.org/10.3390/toxics12010035","2,4-dichlorophenoxyacetic acid (2,4-D) is a widely used herbicide worldwide and is frequently found in water samples. This knowledge has prompted studies on its effects on non-target organisms, revealing significant alterations to liver structure and function. In this review, we evaluated the literature on the hepatotoxicity of 2,4-D, focusing on morphological damages, toxicity biomarkers and affected liver functions. Searches were conducted on PubMed, Web of Science and Scopus and 83 articles were selected after curation. Among these studies, 72% used in vivo models and 30% used in vitro models. Additionally, 48% used the active ingredient, and 35% used commercial formulations in exposure experiments. The most affected biomarkers were related to a decrease in antioxidant capacity through alterations in the activities of catalase, superoxide dismutase and the levels of malondialdehyde. Changes in energy metabolism, lipids, liver function, and xenobiotic metabolism were also identified. Furthermore, studies about the effects of 2,4-D in mixtures with other pesticides were found, as well as hepatoprotection trials. The reviewed data indicate the essential role of reduction in antioxidant capacity and oxidative stress in 2,4-D-induced hepatotoxicity. However, the mechanism of action of the herbicide is still not fully understood and further research in this area is necessary.",NA,"777"
